input_file,tool,output_file,commit_sha
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_Xt-1_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_pX0_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_Xt-1_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_pX0_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_Xt-1_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_pX0_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_Xt-1_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_pX0_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4_Xt-1_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4_pX0_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0_Xt-1_traj.pdb,002eb66
BipD target (inferred),RFdiffusion,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0_pX0_traj.pdb,002eb66
RFdiffusion backbone (inferred),ProteinMPNN,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_0.fa,4f9c4ce
RFdiffusion backbone (inferred),ProteinMPNN,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_1.fa,4f9c4ce
RFdiffusion backbone (inferred),ProteinMPNN,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_2.fa,4f9c4ce
RFdiffusion backbone (inferred),ProteinMPNN,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_3.fa,4f9c4ce
RFdiffusion backbone (inferred),ProteinMPNN,amina_results/bipd_sequences/rfdiffusion_bipd_test_hotspots_design_4.fa,4f9c4ce
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_0_seq_1.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_0_seq_2.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_1_seq_1.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_1_seq_2.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_2_seq_1.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_2_seq_2.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_3_seq_1.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_3_seq_2.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_4_seq_1.pdb,2534ec9
ProteinMPNN sequence (inferred),ESMFold,amina_results/bipd_folded_binders/folded_design_4_seq_2.pdb,2534ec9
