claim_id,claim,artefact_path,artefact_sha256,originating_commit,tool,origin_status,historical_execution_evidence,reproduction_status,classification,notes
RFD_rfdiffusion_bipd_test_hotspots_design_0.pdb,Primary design backbone,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0.pdb,709acf8c233446f701b703745e083a771403b3819e2ce7028f8259b41cab13b3,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_1.pdb,Primary design backbone,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1.pdb,6875e1209f5bd93156745c4ed7fbf9d802992f7a260f175e045e5a4b569e4c7c,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_2.pdb,Primary design backbone,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2.pdb,ff40903400b1363ec13b32541bbd339f9fbd04b736dc62291fb4707ed5ad26e8,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_3.pdb,Primary design backbone,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3.pdb,405b94e16c3ebe4155c28ca981b7c177724125a84e586336d95f00374b5d80df,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_4.pdb,Primary design backbone,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4.pdb,ba2ba6477b51f733ff0c15123abb1a8a3cb899fb379b5664bf674caf6c7eaa03,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_TRWM_design_0.pdb,Primary design backbone,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0.pdb,9f5806b765e947ed63dd5b13b822a72b6d6fe2d9e5cd768f4a492b93312d89d0,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_0_pX0_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_pX0_traj.pdb,9559adf29370d90f38f4cb423677a66192a8082f8173aece66739666e45fd8bd,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_0_Xt-1_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_Xt-1_traj.pdb,e0151fa09d1b234a29d656d514cd2c2ead8c390f0b647520e2bb36235f10b7ac,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_1_pX0_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_pX0_traj.pdb,bd37331c3d7986c4b20f9e42f09727c9152dd9fb0e3126f8d00e8d1e87712bc7,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_1_Xt-1_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_Xt-1_traj.pdb,60ad07b7710031a0f129752bdb22e0719241fd1a3ec9edd50193388159e8797f,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_2_pX0_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_pX0_traj.pdb,c6c4f624f32f2881b219ede97ef3538aec2441d7254eac980eaac35beaa8a6d6,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_2_Xt-1_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_Xt-1_traj.pdb,483ec9b0b121ee2ba18f4a4b6d5aaeadf50f1850f716ea5773c0d78c5f54b9d9,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_3_pX0_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_pX0_traj.pdb,469bda0a36a3db4e2fe4f9b36a145ee027fd6a95a0ab1b96e836da58cea0f842,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_3_Xt-1_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_Xt-1_traj.pdb,0fb6926dae7965c8b0428a5bd196f846a15e8d7aed11c6359a92a9918759a0f0,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_4_pX0_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4_pX0_traj.pdb,31332b290eccd2eaba0547e79b39192f22ffe48615e96584b73e9c40f61d54c2,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_4_Xt-1_traj.pdb,Trajectory file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4_Xt-1_traj.pdb,f257db134670c8ec32a4e0a1478b5a30b943becfa6af2cd51f0a64b79d12bb08,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_TRWM_design_0_pX0_traj.pdb,Trajectory file,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0_pX0_traj.pdb,5e92d755e293c37656c291bbb0a0d3400402dc2adb3000a66513348f7054d614,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_TRWM_design_0_Xt-1_traj.pdb,Trajectory file,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0_Xt-1_traj.pdb,46cf670056ace924c5270e81a18fce9f8e85c414f02114153986c776d53c449e,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_0.trb,TRB metadata file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0.trb,435b3bb9e139269030a53d16e5c41b70b7ed25d90e5e181141d46f7ae8dac157,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_1.trb,TRB metadata file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1.trb,3f48fda1555f28f0cb8fe90cc888be8411073517a527b36bfb5f9c20979431ea,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_2.trb,TRB metadata file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2.trb,81784f739100cb3b4c1543dd538ef07d98348f9b09b3a4b8cfa38294054c778c,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_3.trb,TRB metadata file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3.trb,bb839a2672dc530f201d53923bb962f345ca4f1eef4d0a03a45e8ecde5d2dc96,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_4.trb,TRB metadata file,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_4.trb,b91f86641d6733e1b38713ddeb525948f0877c3cac732dd0452ec0f885b2cc71,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_TRWM_design_0.trb,TRB metadata file,rfdiffusion_test_sync2/rfdiffusion_TRWM_design_0.trb,5eed390df901076546787d06921ef3ebf633e138060bf15db8112916ff3b899c,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_0_cleaning_report.csv,Auxiliary/cleaning report,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_cleaning_report.csv,aa195f5a784a792475c21e1b4bde0869d0edb0d07a44a7058338f2f614da381d,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_1_cleaning_report.csv,Auxiliary/cleaning report,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_cleaning_report.csv,ef1236f7a33f38d100a9fa568713a3a4c136dec5dc45588087d24e97e3ba74c2,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_2_cleaning_report.csv,Auxiliary/cleaning report,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_cleaning_report.csv,6db9f65b1c41a95adaae0dccefd38f53b69dfa86e1db7b3a1d9ee226b3535f2c,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
RFD_rfdiffusion_bipd_test_hotspots_design_3_cleaning_report.csv,Auxiliary/cleaning report,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_cleaning_report.csv,b824e1046aecced2ecdce420128bd2278f0e7f015dfecd3460317fad9b8f8f37,002eb66,RFdiffusion,REAL_MODEL_OUTPUT,STRONG,NOT_RERUN,DOCUMENTED_NOT_RECOMPUTED,
