claim_id,claim,artefact_path,artefact_sha256,originating_commit,tool,execution_evidence,deterministic_check,result,classification,confidence,notes
RFD_rfdiffusion_bipd_test_hotspots_design_0.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0.pdb,709acf8c233446f701b703745e083a771403b3819e2ce7028f8259b41cab13b3,002eb66,RFdiffusion,Files present,Hash computed,Size 374931,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_0_pX0_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_pX0_traj.pdb,9559adf29370d90f38f4cb423677a66192a8082f8173aece66739666e45fd8bd,002eb66,RFdiffusion,Files present,Hash computed,Size 7878200,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_0_Xt-1_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_0_Xt-1_traj.pdb,e0151fa09d1b234a29d656d514cd2c2ead8c390f0b647520e2bb36235f10b7ac,002eb66,RFdiffusion,Files present,Hash computed,Size 7634964,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_1.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1.pdb,6875e1209f5bd93156745c4ed7fbf9d802992f7a260f175e045e5a4b569e4c7c,002eb66,RFdiffusion,Files present,Hash computed,Size 396743,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_1_pX0_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_pX0_traj.pdb,bd37331c3d7986c4b20f9e42f09727c9152dd9fb0e3126f8d00e8d1e87712bc7,002eb66,RFdiffusion,Files present,Hash computed,Size 8395000,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_1_Xt-1_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_1_Xt-1_traj.pdb,60ad07b7710031a0f129752bdb22e0719241fd1a3ec9edd50193388159e8797f,002eb66,RFdiffusion,Files present,Hash computed,Size 8025148,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_2.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2.pdb,ff40903400b1363ec13b32541bbd339f9fbd04b736dc62291fb4707ed5ad26e8,002eb66,RFdiffusion,Files present,Hash computed,Size 373783,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_2_pX0_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_pX0_traj.pdb,c6c4f624f32f2881b219ede97ef3538aec2441d7254eac980eaac35beaa8a6d6,002eb66,RFdiffusion,Files present,Hash computed,Size 7851000,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_2_Xt-1_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_2_Xt-1_traj.pdb,483ec9b0b121ee2ba18f4a4b6d5aaeadf50f1850f716ea5773c0d78c5f54b9d9,002eb66,RFdiffusion,Files present,Hash computed,Size 7614428,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_3.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3.pdb,405b94e16c3ebe4155c28ca981b7c177724125a84e586336d95f00374b5d80df,002eb66,RFdiffusion,Files present,Hash computed,Size 367469,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
RFD_rfdiffusion_bipd_test_hotspots_design_3_pX0_traj.pdb,Generated RFdiffusion structure/trajectory,rfdiffusion_test_results/rfdiffusion_bipd_test_hotspots_design_3_pX0_traj.pdb,469bda0a36a3db4e2fe4f9b36a145ee027fd6a95a0ab1b96e836da58cea0f842,002eb66,RFdiffusion,Files present,Hash computed,Size 7701400,DOCUMENTED_NOT_RECOMPUTED,MEDIUM,
