CollectionName,Internal ID,LOG HLM_CLint (mL/min/kg),LOG MDR1-MDCK ER (B-A/A-B),LOG PLASMA PROTEIN BINDING (HUMAN) (% unbound),LOG PLASMA PROTEIN BINDING (RAT) (% unbound),LOG RLM_CLint (mL/min/kg),LOG SOLUBILITY PH 6.8 (ug/mL),SMILES,Vendor ID,canonical_smiles_rdkit,clogp,dummy_atom_count,fraction_csp3,fragment_count,hba,hbd,measurement_audit,molecular_weight,raw_filename,raw_identifier,raw_smiles,raw_target,rotatable_bonds,source,source_row_1based,structure_error,structure_status,tpsa,undefined_stereo_elements
emolecules,Mol1,0.675686709,1.493167369,0.991226076,0.51851394,1.392169149,0.089905111,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,317714313,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,1.9006999999999994,0,0.19047619047619047,1,9,3,"{""number"": ""0.675686709"", ""relation"": ""="", ""status"": ""VALID""}",434.4350000000002,data/raw/biogen/ADME_public_set_3521.csv,Mol1,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,0.675686709,6,Biogen,1,,VALID,118.24,0
emolecules,Mol2,0.675686709,1.040780099,0.099680641,0.268343914,1.027920136,0.550228353,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,324056965,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,4.180900000000003,0,0.38095238095238093,1,6,2,"{""number"": ""0.675686709"", ""relation"": ""="", ""status"": ""VALID""}",418.4440000000001,data/raw/biogen/ADME_public_set_3521.csv,Mol2,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,0.675686709,8,Biogen,2,,VALID,89.27,0
emolecules,Mol3,0.675686709,-0.358805917,2,2,1.027920136,,CN(c1ncc(F)cn1)[C@H]1CCCNC1,304005766,CN(c1ncc(F)cn1)[C@H]1CCCNC1,0.8038999999999998,0,0.6,1,4,1,"{""number"": ""0.675686709"", ""relation"": ""="", ""status"": ""VALID""}",210.25599999999997,data/raw/biogen/ADME_public_set_3521.csv,Mol3,CN(c1ncc(F)cn1)[C@H]1CCCNC1,0.675686709,2,Biogen,3,,VALID,41.050000000000004,0
emolecules,Mol4,0.675686709,1.02666239,-1.158015195,-1.403402904,1.027920136,1.657055853,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,194963090,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,4.893200000000004,0,0.14285714285714285,1,4,2,"{""number"": ""0.675686709"", ""relation"": ""="", ""status"": ""VALID""}",382.8470000000001,data/raw/biogen/ADME_public_set_3521.csv,Mol4,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,0.675686709,5,Biogen,4,,VALID,85.44000000000001,0
emolecules,Mol5,0.996380313,1.010596548,1.015611205,1.092264361,1.629093448,,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,324059015,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,4.090800000000002,0,0.4090909090909091,1,6,3,"{""number"": ""0.996380313"", ""relation"": ""="", ""status"": ""VALID""}",450.4610000000002,data/raw/biogen/ADME_public_set_3521.csv,Mol5,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,0.996380313,6,Biogen,5,,VALID,100.27000000000001,0
emolecules,Mol6,1.397348966,0.860625544,0.163856803,-0.639532816,2.376374361,1.033423755,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,316230505,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,2.1310400000000005,0,0.4,1,3,3,"{""number"": ""1.397348966"", ""relation"": ""="", ""status"": ""VALID""}",370.42800000000017,data/raw/biogen/ADME_public_set_3521.csv,Mol6,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,1.397348966,3,Biogen,6,,VALID,91.22,0
emolecules,Mol7,1.327231598,-0.162401489,,1.347759218,3.318275952,,CC(C)NCC(O)COc1cccc2ccccc12,299985775,CC(C)NCC(O)COc1cccc2ccccc12,2.5775000000000006,0,0.375,1,3,2,"{""number"": ""1.327231598"", ""relation"": ""="", ""status"": ""VALID""}",259.34900000000005,data/raw/biogen/ADME_public_set_3521.csv,Mol7,CC(C)NCC(O)COc1cccc2ccccc12,1.327231598,6,Biogen,7,,VALID,41.489999999999995,1
emolecules,Mol8,1.458063445,2.091561417,-0.91721463,-0.943095149,2.72806226,,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,538570,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,3.641700000000003,0,0.391304347826087,1,5,3,"{""number"": ""1.458063445"", ""relation"": ""="", ""status"": ""VALID""}",494.0130000000003,data/raw/biogen/ADME_public_set_3521.csv,Mol8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.458063445,8,Biogen,8,,VALID,113.6,0
enamineBB_pmc,Mol9,2.7565,0.72516,0.62603,-0.35853,3.2433,0.93399,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,EN300-97039,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,4.2173000000000025,0,0.2,1,7,1,"{""number"": ""2.7565"", ""relation"": ""="", ""status"": ""VALID""}",440.5070000000002,data/raw/biogen/ADME_public_set_3521.csv,Mol9,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,2.7565,5,Biogen,9,,VALID,99.16,0
emolecules,Mol10,1.630824356,1.301828955,-1.384078213,-0.504455662,3.192741081,,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,44811418,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,4.820100000000003,0,0.15384615384615385,1,6,3,"{""number"": ""1.630824356"", ""relation"": ""="", ""status"": ""VALID""}",452.51800000000014,data/raw/biogen/ADME_public_set_3521.csv,Mol10,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,1.630824356,7,Biogen,10,,VALID,104.82,0
