action_type,activity_comment,activity_id,activity_properties,assay_cell_type,assay_chembl_id,assay_description,assay_organism,assay_strain,assay_subcellular_fraction,assay_tax_id,assay_tissue,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,canonical_smiles_rdkit,cell_chembl_id,clogp,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,dummy_atom_count,fraction_csp3,fragment_count,hba,hbd,ligand_efficiency,measurement_audit,modality,molecular_weight,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,raw_filename,raw_identifier,raw_smiles,raw_target,record_id,relation,rotatable_bonds,source,source_row_1based,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,structure_error,structure_status,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,tissue_chembl_id,toid,tpsa,type,undefined_stereo_elements,units,uo_units,upper_value,value
,,14758721,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,,3.723200000000002,,,CHEMBL3301361,,,0,0.3125,1,5,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,316.382,CHEMBL1164729,FEBUXOSTAT,CHEMBL1164729,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL1164729,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,3.0,2128066,<,5,CHEMBL3301370,1,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,83.21,CLint,0,microL/min/mg,,,3.0
,,14758722,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,,4.756400000000003,,,CHEMBL3301361,,,0,0.29411764705882354,1,3,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,481.33599999999996,CHEMBL62136,T091317,CHEMBL62136,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,3.0,2131120,<,5,CHEMBL3301370,2,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,57.61,CLint,0,microL/min/mg,,,3.0
,,14758723,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,,4.025800000000003,,,CHEMBL3301361,,,0,0.1111111111111111,1,3,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,293.32200000000006,CHEMBL1071,OXAPROZIN,CHEMBL1071,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,3.0,2127780,<,5,CHEMBL3301370,3,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,63.33,CLint,0,microL/min/mg,,,3.0
,,14758725,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,Cc1cc(C)nc(SCC(N)=O)n1,Cc1cc(C)nc(SCC(N)=O)n1,,0.67084,,,CHEMBL3301361,,,0,0.375,1,4,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,197.26299999999998,CHEMBL1526762,,CHEMBL1526762,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL1526762,Cc1cc(C)nc(SCC(N)=O)n1,3.0,2128727,<,3,CHEMBL3301370,4,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,68.87,CLint,0,microL/min/mg,,,3.0
,,14758726,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,,1.5593999999999992,,,CHEMBL3301361,,,0,0.3157894736842105,1,5,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,351.41000000000014,CHEMBL9967,PIRENZEPINE,CHEMBL9967,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,3.0,2127851,<,2,CHEMBL3301370,5,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,68.78,CLint,0,microL/min/mg,,,3.0
,,14758727,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(O)cc1,,1.3505999999999998,,,CHEMBL3301361,,,0,0.125,1,2,2,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,151.165,CHEMBL112,ACETAMINOPHEN,CHEMBL112,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL112,CC(=O)Nc1ccc(O)cc1,3.0,2127759,<,1,CHEMBL3301370,6,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,49.33,CLint,0,microL/min/mg,,,3.0
,,14758728,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,,0.8294699999999999,,,CHEMBL3301361,,,0,0.42857142857142855,1,6,4,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,311.338,CHEMBL1290284,LEONURINE,CHEMBL1290284,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL1290284,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,3.0,2131827,<,8,CHEMBL3301370,7,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,126.89,CLint,1,microL/min/mg,,,3.0
,,14758729,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,CNCCC(Oc1ccccc1OC)c1ccccc1,CNCCC(Oc1ccccc1OC)c1ccccc1,,3.424800000000002,,,CHEMBL3301361,,,0,0.29411764705882354,1,3,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,271.35999999999996,CHEMBL295467,NISOXETINE,CHEMBL295467,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,3.0,2130774,<,7,CHEMBL3301370,8,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,30.49,CLint,1,microL/min/mg,,,3.0
,,14758730,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,,2.3648,,,CHEMBL3301361,,,0,0.0,1,2,1,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,266.659,CHEMBL60066,,CHEMBL60066,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL60066,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,3.0,2130898,<,2,CHEMBL3301370,9,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,56.040000000000006,CLint,0,microL/min/mg,,,3.0
,,14758731,[],,CHEMBL3301370,"ASTRAZENECA: Intrinsic clearance measured in human liver microsomes following incubation at 37C. Experimental range <3 to >150 microL/min/mg. Rapid Commun. Mass Spectrom. 2010, 24, 1730-1736.",Homo sapiens,,Microsome,9606,Liver,A,,,BAO_0002759,BAO_0000251,microsome format,COc1cc(NC(C)CCCN)c2ncccc2c1,COc1cc(NC(C)CCCN)c2ncccc2c1,,2.782700000000001,,,CHEMBL3301361,,,0,0.4,1,4,2,,"{""number"": ""3.0"", ""relation"": ""<"", ""status"": ""VALID""}",,259.35299999999995,CHEMBL506,PRIMAQUINE,CHEMBL506,,0,,data/raw/chembl/CHEMBL3301370_activities_00000.json,CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,3.0,2127786,<,6,CHEMBL3301370,10,27,1,<,,CL,mL.min-1.g-1,,3.0,,VALID,CHEMBL612558,,ADMET,,,CHEMBL3559723,,60.17,CLint,1,microL/min/mg,,,3.0
