canonical_smiles_rdkit,evidence_label,hh_activity_ids,hh_molecule_ids,hlm_activity_ids,hlm_molecule_ids,multiple_rows_or_ids,shares_molecule_id
C#CC[C@@H](C(=O)N[C@H](/C=C/C(=O)OCC)C[C@@H]1CCNC1=O)n1cccc(NC(=O)c2cc(C)on2)c1=O,OBSERVED,[14764288],"[""CHEMBL141157""]",[14762442],"[""CHEMBL141157""]",False,True
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,OBSERVED,[14759996],"[""CHEMBL553""]",[14762377],"[""CHEMBL553""]",False,True
CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,OBSERVED,[14763339],"[""CHEMBL1276308""]",[14765368],"[""CHEMBL1276308""]",False,True
CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,OBSERVED,[14769743],"[""CHEMBL1464""]",[14759846],"[""CHEMBL1464""]",False,True
CC(=O)Nc1ccc(O)cc1,OBSERVED,[14759929],"[""CHEMBL112""]",[14758727],"[""CHEMBL112""]",False,True
CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,OBSERVED,[14761207],"[""CHEMBL956""]",[14758918],"[""CHEMBL956""]",False,True
CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,OBSERVED,[14763317],"[""CHEMBL114""]",[14766495],"[""CHEMBL114""]",False,True
CC(C)(C)NC(=O)c1ccc(Oc2cc(F)c(CC(=O)O)cc2Cl)c(NS(=O)(=O)c2ccc(C3CC3)cc2Cl)c1,OBSERVED,[14759888],"[""CHEMBL1951575""]",[14769863],"[""CHEMBL1951575""]",False,True
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,OBSERVED,[14759790],"[""CHEMBL2057371""]",[14759809],"[""CHEMBL2057371""]",False,True
CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,OBSERVED,[14758939],"[""CHEMBL2057372""]",[14759808],"[""CHEMBL2057372""]",False,True
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,OBSERVED,[14763308],"[""CHEMBL1938400""]",[14766496],"[""CHEMBL1938400""]",False,True
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,OBSERVED,[14763460],"[""CHEMBL17157""]",[14765430],"[""CHEMBL17157""]",False,True
CC(C)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,OBSERVED,[14759879],"[""CHEMBL380947""]",[14763427],"[""CHEMBL380947""]",False,True
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,OBSERVED,[14762226],"[""CHEMBL787""]",[14763398],"[""CHEMBL787""]",False,True
CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,OBSERVED,[14769723],"[""CHEMBL2216859""]",[14763484],"[""CHEMBL2216859""]",False,True
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,OBSERVED,[14769720],"[""CHEMBL423""]",[14769868],"[""CHEMBL423""]",False,True
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,OBSERVED,[14762323],"[""CHEMBL894""]",[14761331],"[""CHEMBL894""]",False,True
CC/C(=C(/c1ccc(O)cc1)c1ccc(/C=C/C(=O)O)cc1)c1ccccc1,OBSERVED,[14764442],"[""CHEMBL1091137""]",[14763455],"[""CHEMBL1091137""]",False,True
CC1(C)[C@H](NC(=O)/C(=N\OCc2cc(=O)c(O)cn2O)c2csc(N)n2)C(=O)N1OS(=O)(=O)O,OBSERVED,[14769716],"[""CHEMBL1256967""]",[14760020],"[""CHEMBL1256967""]",False,True
CC1(CCCc2cc(=O)oc3[nH]c(=O)[nH]c(=O)c23)CC1,OBSERVED,[14769735],"[""CHEMBL2036958""]",[14769829],"[""CHEMBL2036958""]",False,True
CCC(=O)NC(c1cccs1)c1cc(Cl)c2cccnc2c1O,OBSERVED,[14766482],"[""CHEMBL1405150""]",[14762464],"[""CHEMBL1405150""]",False,True
CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,OBSERVED,[14759775],"[""CHEMBL1834184""]",[14761267],"[""CHEMBL1834184""]",False,True
CCC(CC)NC(=O)c1c(C)nn(-c2ccccc2)c1NS(=O)(=O)c1ccc(C)cc1,OBSERVED,[14769721],"[""CHEMBL1916272""]",[14763276],"[""CHEMBL1916272""]",False,True
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,OBSERVED,[14761248],"[""CHEMBL1513""]",[14762352],"[""CHEMBL1513""]",False,True
CCCCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,OBSERVED,[14763318],"[""CHEMBL1800659""]",[14765553],"[""CHEMBL1800659""]",False,True
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,OBSERVED,[14759927],"[""CHEMBL782""]",[14759931],"[""CHEMBL782""]",False,True
CCCCNC(=O)c1ccc(Oc2ccc(CC(=O)O)cc2OC)c(NS(=O)(=O)c2ccc(Cl)cc2Cl)c1,OBSERVED,[14769695],"[""CHEMBL589973""]",[14769855],"[""CHEMBL589973""]",False,True
CCCCOc1nc(N)c2[nH]c(=O)n(Cc3cccc(CC(=O)O)c3)c2n1,OBSERVED,[14769790],"[""CHEMBL1089518""]",[14769883],"[""CHEMBL1089518""]",False,True
CCCNC(=O)CSc1ccc(S(=O)(=O)N2CCCC2)cn1,OBSERVED,[14769737],"[""CHEMBL2141746""]",[14761348],"[""CHEMBL2141746""]",False,True
CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,OBSERVED,[14761346],"[""CHEMBL1483""]",[14763462],"[""CHEMBL1483""]",False,True
CCC[C@H](CO)Nc1nc(S[C@@H](C)c2cccc(C#N)c2)nc2[nH]c(=O)sc12,OBSERVED,[14763256],"[""CHEMBL2349318""]",[14764426],"[""CHEMBL2349318""]",False,True
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,OBSERVED,[14758959],"[""CHEMBL1017""]",[14769854],"[""CHEMBL1017""]",False,True
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,OBSERVED,[14762318],"[""CHEMBL192""]",[14765534],"[""CHEMBL192""]",False,True
CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,OBSERVED,[14761198],"[""CHEMBL1916271""]",[14765542],"[""CHEMBL1916271""]",False,True
CCN(CC)CCN1C(=O)[C@@](O)(c2ccccc2Cl)c2c1cc(C(N)=O)cc2C(F)(F)F,OBSERVED,[14761297],"[""CHEMBL360227""]",[14765424],"[""CHEMBL360227""]",False,True
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,OBSERVED,[14763436],"[""CHEMBL682""]",[14766550],"[""CHEMBL682""]",False,True
CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)ccc1OC)C(=O)NCc1ccccc1,OBSERVED,[14763307],"[""CHEMBL2181753""]",[14764536],"[""CHEMBL2181753""]",False,True
