candidate_count,canonical_smiles_rdkit,chembl_activity_id,chembl_molecule_id,chembl_original_relation,chembl_original_units,chembl_original_value,chembl_standard_relation,chembl_standard_units,chembl_standard_value,evidence_label,id_equal,match_status,numeric_equal,secondary_exact_id_candidates,secondary_parent_id_candidates,tdc_id,tdc_raw_smiles,tdc_row,tdc_y
1,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,14761349,CHEMBL203059,,microL/min/mg,12.59,,mL.min-1.g-1,12.59,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14761349, ""canonical_smiles_rdkit"": ""O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1"", ""identifier"": ""CHEMBL203059"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 465, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""12.59""}]","[{""activity_id"": 14761349, ""canonical_smiles_rdkit"": ""O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1"", ""identifier"": ""CHEMBL203059"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 465, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""12.59""}]",CHEMBL203059,O=C(Nc1cc(-c2ccnc(Nc3ccccc3)c2)ccn1)C1CCOCC1,1,12.59
1,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12,14769818,CHEMBL1900528,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14769818, ""canonical_smiles_rdkit"": ""C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12"", ""identifier"": ""CHEMBL1900528"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 32, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]","[{""activity_id"": 14769818, ""canonical_smiles_rdkit"": ""C[N+]1(C)[C@@H]2C[C@@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@H]1[C@@H]1O[C@@H]12"", ""identifier"": ""CHEMBL1900528"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 32, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]",CHEMBL1900528,C[N+]1(C)[C@H]2C[C@H](OC(=O)C(O)(c3cccs3)c3cccs3)C[C@@H]1[C@H]1O[C@@H]21,2,3.0
1,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,14769849,CHEMBL1689128,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14769849, ""canonical_smiles_rdkit"": ""C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1"", ""identifier"": ""CHEMBL1689128"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 63, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]","[{""activity_id"": 14769849, ""canonical_smiles_rdkit"": ""C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1"", ""identifier"": ""CHEMBL1689128"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 63, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]",CHEMBL1689128,C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,3,3.0
1,Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O,14769850,CHEMBL1917432,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14769850, ""canonical_smiles_rdkit"": ""Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O"", ""identifier"": ""CHEMBL1917432"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 64, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]","[{""activity_id"": 14769850, ""canonical_smiles_rdkit"": ""Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O"", ""identifier"": ""CHEMBL1917432"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 64, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]",CHEMBL1917432,Cc1c(Sc2ccc(Cl)cc2)c2c(S(C)(=O)=O)cccc2n1CC(=O)O,4,3.0
1,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)nc1,14769879,CHEMBL1782167,<,microL/min/mg,3.0,<,mL.min-1.g-1,3.0,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14769879, ""canonical_smiles_rdkit"": ""Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)nc1"", ""identifier"": ""CHEMBL1782167"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 92, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]","[{""activity_id"": 14769879, ""canonical_smiles_rdkit"": ""Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)nc1"", ""identifier"": ""CHEMBL1782167"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_01000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 92, ""standard_relation"": ""<"", ""standard_units"": ""mL.min-1.g-1"", ""target"": ""3.0""}]",CHEMBL1782167,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)nc1,5,3.0
1,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,14764497,CHEMBL1947157,,microL/min/mg,63.0,,mL.min-1.g-1,63.0,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14764497, ""canonical_smiles_rdkit"": ""O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1"", ""identifier"": ""CHEMBL1947157"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 808, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""63.0""}]","[{""activity_id"": 14764497, ""canonical_smiles_rdkit"": ""O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1"", ""identifier"": ""CHEMBL1947157"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 808, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""63.0""}]",CHEMBL1947157,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCc3cccc(CNCCc4c(Cl)cccc4Cl)c3)c2s1,6,63.0
1,Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1,14764500,CHEMBL2347404,,microL/min/mg,63.1,,mL.min-1.g-1,63.1,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14764500, ""canonical_smiles_rdkit"": ""Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1"", ""identifier"": ""CHEMBL2347404"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 809, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""63.1""}]","[{""activity_id"": 14764500, ""canonical_smiles_rdkit"": ""Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1"", ""identifier"": ""CHEMBL2347404"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 809, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""63.1""}]",CHEMBL2347404,Fc1cccc(COc2ccc(Nc3ncnc4ccc(-c5cccc(N6CCOCC6)c5)cc34)cc2Cl)c1,7,63.1
1,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12,14759774,CHEMBL2031559,,microL/min/mg,4.47,,mL.min-1.g-1,4.47,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14759774, ""canonical_smiles_rdkit"": ""O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12"", ""identifier"": ""CHEMBL2031559"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 235, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""4.47""}]","[{""activity_id"": 14759774, ""canonical_smiles_rdkit"": ""O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12"", ""identifier"": ""CHEMBL2031559"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 235, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""4.47""}]",CHEMBL2031559,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cc(C(F)(F)F)cc2[nH]cnc12,8,4.47
1,Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,14759865,CHEMBL214350,,microL/min/mg,5.6,,mL.min-1.g-1,5.6,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14759865, ""canonical_smiles_rdkit"": ""Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O"", ""identifier"": ""CHEMBL214350"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 274, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""5.6""}]","[{""activity_id"": 14759865, ""canonical_smiles_rdkit"": ""Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O"", ""identifier"": ""CHEMBL214350"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 274, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""5.6""}]",CHEMBL214350,Cc1ccc2c(c1)c(-c1ccnc3c(C(F)(F)F)cccc13)c(C)n2CC(=O)O,9,5.6
1,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,14759874,CHEMBL12,,microL/min/mg,5.75,,mL.min-1.g-1,5.75,OBSERVED,True,MATCHED,True,"[{""activity_id"": 14759874, ""canonical_smiles_rdkit"": ""CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21"", ""identifier"": ""CHEMBL12"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 275, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""5.75""}]","[{""activity_id"": 14759874, ""canonical_smiles_rdkit"": ""CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21"", ""identifier"": ""CHEMBL12"", ""raw_filename"": ""data/raw/chembl/CHEMBL3301370_activities_00000.json"", ""source"": ""CHEMBL3301370"", ""source_row_1based"": 275, ""standard_relation"": null, ""standard_units"": ""mL.min-1.g-1"", ""target"": ""5.75""}]",CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,10,5.75
