scope,activity_id,molecule_chembl_id,scaffold_key,cv_fold,reference_n,maximum_tanimoto,bin,nearest_tie_count,nearest_activity_ids,nearest_molecule_ids,nearest_scaffold_keys
holdout_to_cv,14758978,CHEMBL2158839,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,,582,0.5882352941176471,"[0.4,0.6)",1,"[""14760037""]","[""CHEMBL2158822""]","[""c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1""]"
holdout_to_cv,14758980,CHEMBL1778647,c1ccc(-c2ccccc2)cc1,,582,0.4057971014492754,"[0.4,0.6)",1,"[""14761271""]","[""CHEMBL1689117""]","[""O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1""]"
holdout_to_cv,14758982,CHEMBL211866,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,582,0.765625,"[0.6,1.0]",1,"[""14763411""]","[""CHEMBL1951906""]","[""O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)C2CCNCC2)CC1""]"
holdout_to_cv,14758983,CHEMBL2031233,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)C1CC1,,582,0.7,"[0.6,1.0]",1,"[""14759905""]","[""CHEMBL2031238""]","[""O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1ccoc1""]"
holdout_to_cv,14758984,CHEMBL5,O=c1cc[nH]c2ncccc12,,582,0.28846153846153844,"[0.2,0.3)",1,"[""14761365""]","[""CHEMBL568904""]","[""c1cnc2sccc2c1""]"
holdout_to_cv,14758985,CHEMBL60088,c1ccc2sccc2c1,,582,0.6052631578947368,"[0.6,1.0]",1,"[""14759818""]","[""CHEMBL591931""]","[""c1ccc(-c2cccc3sccc23)cc1""]"
holdout_to_cv,14758986,CHEMBL1738761,c1ccc(COc2ccccc2)cc1,,582,0.2112676056338028,"[0.2,0.3)",1,"[""14758945""]","[""CHEMBL1689109""]","[""O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1""]"
holdout_to_cv,14758997,CHEMBL2335901,O=C(NCc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1)C1CCNCC1,,582,0.4657534246575342,"[0.4,0.6)",1,"[""14765358""]","[""CHEMBL2335890""]","[""c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1""]"
holdout_to_cv,14759783,CHEMBL1689112,O=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,,582,0.6896551724137931,"[0.6,1.0]",1,"[""14759934""]","[""CHEMBL1689110""]","[""O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1""]"
holdout_to_cv,14759804,CHEMBL1807823,O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,,582,0.8153846153846154,"[0.6,1.0]",1,"[""14762426""]","[""CHEMBL1807869""]","[""O=c1[nH]c2cccc(CCNCCCSCCNCCc3ccccc3)c2s1""]"
holdout_to_cv,14759810,CHEMBL1290183,O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,,582,0.33962264150943394,"[0.3,0.4)",1,"[""14764506""]","[""CHEMBL272551""]","[""O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1""]"
holdout_to_cv,14759814,CHEMBL2171035,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,,582,0.5151515151515151,"[0.4,0.6)",1,"[""14759910""]","[""CHEMBL2158815""]","[""c1ccc(CN2CCC(N3CCC(Oc4ccccc4)CC3)CC2)cc1""]"
holdout_to_cv,14759817,CHEMBL233263,c1coc(CSc2ncc3scnc3n2)c1,,582,0.6721311475409836,"[0.6,1.0]",1,"[""14761134""]","[""CHEMBL232846""]","[""c1ccc(CSc2ncc3scnc3n2)cc1""]"
holdout_to_cv,14759822,CHEMBL100391,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,,582,0.2727272727272727,"[0.2,0.3)",1,"[""14765358""]","[""CHEMBL2335890""]","[""c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1""]"
holdout_to_cv,14759854,CHEMBL284275,c1ccc(Cc2cn[nH]c2)cc1,,582,0.3111111111111111,"[0.3,0.4)",1,"[""14764321""]","[""CHEMBL2023704""]","[""c1ccc(-c2ccncn2)cc1""]"
holdout_to_cv,14759861,CHEMBL1459588,c1ccccc1,,582,0.265625,"[0.2,0.3)",1,"[""14762425""]","[""CHEMBL453222""]","[""c1ccc(-c2cccs2)cc1""]"
holdout_to_cv,14759862,CHEMBL1829174,c1ccc(-c2cccc(COc3ccc4c(c3)OCC4)c2)cc1,,582,0.28205128205128205,"[0.2,0.3)",1,"[""14759795""]","[""CHEMBL1688458""]","[""c1ccc(OCc2cccc(Oc3ccccc3)c2)cc1""]"
holdout_to_cv,14759863,CHEMBL2158785,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,,582,0.3522727272727273,"[0.3,0.4)",1,"[""14761139""]","[""CHEMBL2158828""]","[""c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1""]"
holdout_to_cv,14759891,CHEMBL2158769,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,,582,0.5633802816901409,"[0.4,0.6)",1,"[""14760037""]","[""CHEMBL2158822""]","[""c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1""]"
holdout_to_cv,14759892,CHEMBL401158,c1ncc2nnn(C3CCCC3)c2n1,,582,0.2191780821917808,"[0.2,0.3)",1,"[""14762365""]","[""CHEMBL201799""]","[""c1ncc2scnc2n1""]"
holdout_to_cv,14759899,CHEMBL416,O=c1ccc2cc3ccoc3cc2o1,,582,0.22,"[0.2,0.3)",1,"[""14763376""]","[""CHEMBL153064""]","[""O=c1ccc2ccccc2o1""]"
holdout_to_cv,14759906,CHEMBL1778618,c1ccc(-c2ccccc2)cc1,,582,0.3225806451612903,"[0.3,0.4)",1,"[""14758945""]","[""CHEMBL1689109""]","[""O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1""]"
holdout_to_cv,14759909,CHEMBL2171048,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,,582,0.4605263157894737,"[0.4,0.6)",1,"[""14762210""]","[""CHEMBL2171021""]","[""O=C(c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1""]"
holdout_to_cv,14759912,CHEMBL2171043,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,,582,0.5147058823529411,"[0.4,0.6)",1,"[""14759910""]","[""CHEMBL2158815""]","[""c1ccc(CN2CCC(N3CCC(Oc4ccccc4)CC3)CC2)cc1""]"
holdout_to_cv,14759921,CHEMBL2041980,c1ccc(-c2cncc(-c3cccnc3)c2)cc1,,582,0.3898305084745763,"[0.3,0.4)",1,"[""14758999""]","[""CHEMBL1766779""]","[""O=C(Nc1ccccc1)c1cncc(-c2ccccc2)n1""]"
holdout_to_cv,14759931,CHEMBL782,c1ccccc1,,582,0.3559322033898305,"[0.3,0.4)",1,"[""14760002""]","[""CHEMBL1934266""]","[""O=S(=O)(Nc1ccn[nH]1)c1ccccc1""]"
holdout_to_cv,14759938,CHEMBL382435,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,,582,0.68,"[0.6,1.0]",2,"[""14760003"",""14762348""]","[""CHEMBL1951909"",""CHEMBL1952100""]","[""O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)N2CCNCC2)CC1"",""O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)C2CCNCC2)CC1""]"
holdout_to_cv,14759944,CHEMBL206229,O=c1[nH]c(=O)c2cc(Cc3ccccc3)sc2[nH]1,,582,0.765625,"[0.6,1.0]",1,"[""14759984""]","[""CHEMBL383696""]","[""O=c1[nH]c(=O)c2c(SC3CCCC3)c(Cc3ccccc3)sc2[nH]1""]"
holdout_to_cv,14759966,CHEMBL108,C1=Cc2ccccc2Nc2ccccc21,,582,0.22727272727272727,"[0.2,0.3)",1,"[""14763345""]","[""CHEMBL1831214""]","[""c1ccc(-c2cccs2)cc1""]"
holdout_to_cv,14759970,CHEMBL521509,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3cccnc3)c2)c2ncccc2c1=O,,582,0.2608695652173913,"[0.2,0.3)",1,"[""14759825""]","[""CHEMBL2031464""]","[""O=C(NC1CCC1)c1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1""]"
holdout_to_cv,14759976,CHEMBL491758,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,,582,0.27906976744186046,"[0.2,0.3)",1,"[""14765503""]","[""CHEMBL1345333""]","[""c1ccc(Nc2[nH]nnc2-c2ccccc2)cc1""]"
