byte_size,evidence_label,filename,final_url,http_headers,kind,raw_row_count,retrieved_utc,schema,sha256,source,source_url,version
388279,OBSERVED,data/raw/biogen/ADME_public_set_3521.csv,https://raw.githubusercontent.com/molecularinformatics/Computational-ADME/b00df003de117ce9e5b381afd886095c5f2af2d5/ADME_public_set_3521.csv,"{""Content-Type"": ""text/plain; charset=utf-8"", ""ETag"": ""\""8033af1bd08a1180c3985a12ff880979d69a4353e1672b87ef6a97c18c1a3515\"""", ""Last-Modified"": null}",dataset,3521,2026-09-16T17:41:31.362403+00:00,"[""Internal ID"", ""Vendor ID"", ""SMILES"", ""CollectionName"", ""LOG HLM_CLint (mL/min/kg)"", ""LOG MDR1-MDCK ER (B-A/A-B)"", ""LOG SOLUBILITY PH 6.8 (ug/mL)"", ""LOG PLASMA PROTEIN BINDING (HUMAN) (% unbound)"", ""LOG PLASMA PROTEIN BINDING (RAT) (% unbound)"", ""LOG RLM_CLint (mL/min/kg)""]",2cfabc2667740c224487876c33b23124159ef43294e0f9e4d926cb6276c95a3b,Biogen,https://raw.githubusercontent.com/molecularinformatics/Computational-ADME/b00df003de117ce9e5b381afd886095c5f2af2d5/ADME_public_set_3521.csv,"{""commit"": ""b00df003de117ce9e5b381afd886095c5f2af2d5"", ""repository"": ""molecularinformatics/Computational-ADME""}"
1077,OBSERVED,data/raw/biogen/LICENSE,https://raw.githubusercontent.com/molecularinformatics/Computational-ADME/b00df003de117ce9e5b381afd886095c5f2af2d5/LICENSE,"{""Content-Type"": ""text/plain; charset=utf-8"", ""ETag"": ""\""5d23caf014ff1076f6c393caba9d6ce7aab56163e48bc1db88eaeaab093ff649\"""", ""Last-Modified"": null}",support,,2026-09-16T17:41:32.772997+00:00,source documentation/archive; not a dataset table,06557ca6eeee99c162df4e5e819167c6103f35faffb51f7b0a4833905280a740,Biogen,https://raw.githubusercontent.com/molecularinformatics/Computational-ADME/b00df003de117ce9e5b381afd886095c5f2af2d5/LICENSE,"{""commit"": ""b00df003de117ce9e5b381afd886095c5f2af2d5"", ""repository"": ""molecularinformatics/Computational-ADME""}"
4409,OBSERVED,data/raw/biogen/README.md,https://raw.githubusercontent.com/molecularinformatics/Computational-ADME/b00df003de117ce9e5b381afd886095c5f2af2d5/README.md,"{""Content-Type"": ""text/plain; charset=utf-8"", ""ETag"": ""\""3ca8c903b86d88493acbd628a13a0375f55c57a467357eafb5bbb588ce6a46d1\"""", ""Last-Modified"": null}",support,,2026-09-16T17:41:31.888617+00:00,source documentation/archive; not a dataset table,056e4811aa4c0e6ca096b8d1ae5d33a5d91f3ba02d1aad1ebce0d779c67be425,Biogen,https://raw.githubusercontent.com/molecularinformatics/Computational-ADME/b00df003de117ce9e5b381afd886095c5f2af2d5/README.md,"{""commit"": ""b00df003de117ce9e5b381afd886095c5f2af2d5"", ""repository"": ""molecularinformatics/Computational-ADME""}"
5371,OBSERVED,data/raw/biogen/source_commit.json,https://api.github.com/repos/molecularinformatics/Computational-ADME/commits/main,"{""Content-Type"": ""application/json; charset=utf-8"", ""ETag"": ""W/\""e36ca9572d6c02a0b1cb8e7676d7a8543097b743a83471e5c94723e55993399c\"""", ""Last-Modified"": ""Tue, 13 Feb 2024 00:11:10 GMT""}",support,1,2026-09-16T17:41:30.667946+00:00,"[""author"", ""comments_url"", ""commit"", ""committer"", ""files"", ""html_url"", ""node_id"", ""parents"", ""sha"", ""stats"", ""url""]",e36ca9572d6c02a0b1cb8e7676d7a8543097b743a83471e5c94723e55993399c,Biogen,https://api.github.com/repos/molecularinformatics/Computational-ADME/commits/main,
1474958,OBSERVED,data/raw/chembl/CHEMBL3301370_activities_00000.json,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301370&limit=1000&offset=0&order_by=activity_id,"{""Content-Type"": ""application/json"", ""ETag"": null, ""Last-Modified"": null}",dataset,1000,2026-09-16T17:41:12.200208+00:00,"[""action_type"", ""activity_comment"", ""activity_id"", ""activity_properties"", ""assay_chembl_id"", ""assay_description"", ""assay_type"", ""assay_variant_accession"", ""assay_variant_mutation"", ""bao_endpoint"", ""bao_format"", ""bao_label"", ""canonical_smiles"", ""data_validity_comment"", ""data_validity_description"", ""document_chembl_id"", ""document_journal"", ""document_year"", ""ligand_efficiency"", ""modality"", ""molecule_chembl_id"", ""molecule_pref_name"", ""parent_molecule_chembl_id"", ""pchembl_value"", ""potential_duplicate"", ""qudt_units"", ""record_id"", ""relation"", ""src_id"", ""standard_flag"", ""standard_relation"", ""standard_text_value"", ""standard_type"", ""standard_units"", ""standard_upper_value"", ""standard_value"", ""target_chembl_id"", ""target_organism"", ""target_pref_name"", ""target_tax_id"", ""text_value"", ""toid"", ""type"", ""units"", ""uo_units"", ""upper_value"", ""value""]",657618e353b9795fd7fabb1a4086d7b936709059bbfdcbe689b0f87309e16d43,CHEMBL3301370,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301370&limit=1000&offset=0&order_by=activity_id,"{""activities"": 24527044, ""chembl_db_version"": ""ChEMBL_37"", ""chembl_release_date"": ""2026-05-01"", ""compound_records"": 3824604, ""disinct_compounds"": 2921148, ""publications"": 101100, ""status"": ""UP"", ""targets"": 18552}"
150154,OBSERVED,data/raw/chembl/CHEMBL3301370_activities_01000.json,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301370&limit=1000&offset=1000&order_by=activity_id,"{""Content-Type"": ""application/json"", ""ETag"": null, ""Last-Modified"": null}",dataset,102,2026-09-16T17:41:13.491221+00:00,"[""action_type"", ""activity_comment"", ""activity_id"", ""activity_properties"", ""assay_chembl_id"", ""assay_description"", ""assay_type"", ""assay_variant_accession"", ""assay_variant_mutation"", ""bao_endpoint"", ""bao_format"", ""bao_label"", ""canonical_smiles"", ""data_validity_comment"", ""data_validity_description"", ""document_chembl_id"", ""document_journal"", ""document_year"", ""ligand_efficiency"", ""modality"", ""molecule_chembl_id"", ""molecule_pref_name"", ""parent_molecule_chembl_id"", ""pchembl_value"", ""potential_duplicate"", ""qudt_units"", ""record_id"", ""relation"", ""src_id"", ""standard_flag"", ""standard_relation"", ""standard_text_value"", ""standard_type"", ""standard_units"", ""standard_upper_value"", ""standard_value"", ""target_chembl_id"", ""target_organism"", ""target_pref_name"", ""target_tax_id"", ""text_value"", ""toid"", ""type"", ""units"", ""uo_units"", ""upper_value"", ""value""]",df8720b582563b8d04c1029aedb5fc5ced7614d3c190e912ac4bab67140ac46e,CHEMBL3301370,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301370&limit=1000&offset=1000&order_by=activity_id,"{""activities"": 24527044, ""chembl_db_version"": ""ChEMBL_37"", ""chembl_release_date"": ""2026-05-01"", ""compound_records"": 3824604, ""disinct_compounds"": 2921148, ""publications"": 101100, ""status"": ""UP"", ""targets"": 18552}"
1085,OBSERVED,data/raw/chembl/CHEMBL3301370_assay.json,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL3301370.json,"{""Content-Type"": ""application/json"", ""ETag"": null, ""Last-Modified"": null}",support,1,2026-09-16T17:41:07.153389+00:00,"[""aidx"", ""assay_category"", ""assay_cell_type"", ""assay_chembl_id"", ""assay_classifications"", ""assay_group"", ""assay_organism"", ""assay_parameters"", ""assay_strain"", ""assay_subcellular_fraction"", ""assay_tax_id"", ""assay_test_type"", ""assay_tissue"", ""assay_type"", ""assay_type_description"", ""bao_format"", ""bao_label"", ""cell_chembl_id"", ""confidence_description"", ""confidence_score"", ""description"", ""document_chembl_id"", ""relationship_description"", ""relationship_type"", ""src_assay_id"", ""src_id"", ""target_chembl_id"", ""tissue_chembl_id"", ""variant_sequence""]",b47f19c67e3c144b3b53569f1be1c5478a4c9c84cc2d096f7e165a064206d624,CHEMBL3301370,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL3301370.json,"{""activities"": 24527044, ""chembl_db_version"": ""ChEMBL_37"", ""chembl_release_date"": ""2026-05-01"", ""compound_records"": 3824604, ""disinct_compounds"": 2921148, ""publications"": 101100, ""status"": ""UP"", ""targets"": 18552}"
1251418,OBSERVED,data/raw/chembl/CHEMBL3301371_activities_00000.json,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301371&limit=1000&offset=0&order_by=activity_id,"{""Content-Type"": ""application/json"", ""ETag"": null, ""Last-Modified"": null}",dataset,837,2026-09-16T17:41:20.328060+00:00,"[""action_type"", ""activity_comment"", ""activity_id"", ""activity_properties"", ""assay_chembl_id"", ""assay_description"", ""assay_type"", ""assay_variant_accession"", ""assay_variant_mutation"", ""bao_endpoint"", ""bao_format"", ""bao_label"", ""canonical_smiles"", ""data_validity_comment"", ""data_validity_description"", ""document_chembl_id"", ""document_journal"", ""document_year"", ""ligand_efficiency"", ""modality"", ""molecule_chembl_id"", ""molecule_pref_name"", ""parent_molecule_chembl_id"", ""pchembl_value"", ""potential_duplicate"", ""qudt_units"", ""record_id"", ""relation"", ""src_id"", ""standard_flag"", ""standard_relation"", ""standard_text_value"", ""standard_type"", ""standard_units"", ""standard_upper_value"", ""standard_value"", ""target_chembl_id"", ""target_organism"", ""target_pref_name"", ""target_tax_id"", ""text_value"", ""toid"", ""type"", ""units"", ""uo_units"", ""upper_value"", ""value""]",c6a101aba9d6e9010cbab9dd26daf7523929b6ce3dd19ea2e6625e8bcaf40f24,CHEMBL3301371,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301371&limit=1000&offset=0&order_by=activity_id,"{""activities"": 24527044, ""chembl_db_version"": ""ChEMBL_37"", ""chembl_release_date"": ""2026-05-01"", ""compound_records"": 3824604, ""disinct_compounds"": 2921148, ""publications"": 101100, ""status"": ""UP"", ""targets"": 18552}"
1133,OBSERVED,data/raw/chembl/CHEMBL3301371_assay.json,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL3301371.json,"{""Content-Type"": ""application/json"", ""ETag"": null, ""Last-Modified"": null}",support,1,2026-09-16T17:41:13.721451+00:00,"[""aidx"", ""assay_category"", ""assay_cell_type"", ""assay_chembl_id"", ""assay_classifications"", ""assay_group"", ""assay_organism"", ""assay_parameters"", ""assay_strain"", ""assay_subcellular_fraction"", ""assay_tax_id"", ""assay_test_type"", ""assay_tissue"", ""assay_type"", ""assay_type_description"", ""bao_format"", ""bao_label"", ""cell_chembl_id"", ""confidence_description"", ""confidence_score"", ""description"", ""document_chembl_id"", ""relationship_description"", ""relationship_type"", ""src_assay_id"", ""src_id"", ""target_chembl_id"", ""tissue_chembl_id"", ""variant_sequence""]",43c82c98ae5083645d7a560ab7269b808f4185fe4bd912073ebcf642bfe84cb0,CHEMBL3301371,https://www.ebi.ac.uk/chembl/api/data/assay/CHEMBL3301371.json,"{""activities"": 24527044, ""chembl_db_version"": ""ChEMBL_37"", ""chembl_release_date"": ""2026-05-01"", ""compound_records"": 3824604, ""disinct_compounds"": 2921148, ""publications"": 101100, ""status"": ""UP"", ""targets"": 18552}"
610243,OBSERVED,data/raw/chembl/CHEMBL3301372_activities_00000.json,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301372&limit=1000&offset=0&order_by=activity_id,"{""Content-Type"": ""application/json"", ""ETag"": null, ""Last-Modified"": null}",dataset,408,2026-09-16T17:41:24.403727+00:00,"[""action_type"", ""activity_comment"", ""activity_id"", ""activity_properties"", ""assay_chembl_id"", ""assay_description"", ""assay_type"", ""assay_variant_accession"", ""assay_variant_mutation"", ""bao_endpoint"", ""bao_format"", ""bao_label"", ""canonical_smiles"", ""data_validity_comment"", ""data_validity_description"", ""document_chembl_id"", ""document_journal"", ""document_year"", ""ligand_efficiency"", ""modality"", ""molecule_chembl_id"", ""molecule_pref_name"", ""parent_molecule_chembl_id"", ""pchembl_value"", ""potential_duplicate"", ""qudt_units"", ""record_id"", ""relation"", ""src_id"", ""standard_flag"", ""standard_relation"", ""standard_text_value"", ""standard_type"", ""standard_units"", ""standard_upper_value"", ""standard_value"", ""target_chembl_id"", ""target_organism"", ""target_pref_name"", ""target_tax_id"", ""text_value"", ""toid"", ""type"", ""units"", ""uo_units"", ""upper_value"", ""value""]",a1d5c17f98a34e3f4c5d1816c67ff97bb37c1722b66cb9a5a0ec348b3877ff90,CHEMBL3301372,https://www.ebi.ac.uk/chembl/api/data/activity.json?assay_chembl_id=CHEMBL3301372&limit=1000&offset=0&order_by=activity_id,"{""activities"": 24527044, ""chembl_db_version"": ""ChEMBL_37"", ""chembl_release_date"": ""2026-05-01"", ""compound_records"": 3824604, ""disinct_compounds"": 2921148, ""publications"": 101100, ""status"": ""UP"", ""targets"": 18552}"
