scaffold_key,hash_prefix_32bit,hash_order_1based,all_n,primary_n,dry_run_partition,dry_run_cv_fold
O=C(NCCCCCCNCCc1cccc2ncsc12)Nc1ccccc1,2610878,1,1,1,holdout,
c1cc(Nc2nccc(-c3cncs3)n2)cc(N2CCCCC2)c1,10315159,2,1,1,holdout,
O=C(NCc1nc2ccccc2n1Cc1ccccc1)c1ccccc1,11947071,3,1,0,holdout,
O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1cscn1,14617963,4,1,0,holdout,
O=C(NCC1CCCCC1)c1cccc2ncccc12,30216047,5,1,0,holdout,
O=C(c1ccccc1)c1cccs1,39663472,6,2,1,holdout,
O=c1c2c3n(c(=O)cc2[nH]n1-c1ccccc1)CCCN(Cc1ccccc1)C3,40448434,7,1,1,holdout,
c1ccc2sccc2c1,52304617,8,1,1,holdout,
O=C(Nc1cc(-c2ccncc2)c[nH]c1=O)C(Cc1ccccc1)NC1(c2ccccn2)CC1,57746030,9,1,1,holdout,
c1cc(-c2ccc3ncsc3c2)ccn1,58885678,10,1,1,holdout,
c1ccc(-c2cncc(-c3cccnc3)c2)cc1,61143121,11,1,1,holdout,
O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2cc(OC(=O)N4CCC(N5CCCCC5)CC4)ccc2nc1-3,61957819,12,1,1,holdout,
c1ccc(-c2cccc(-c3nccs3)c2)cc1,65085809,13,1,1,holdout,
c1ccc(COc2ccccc2)cc1,76285238,14,7,2,holdout,
c1ccc(Sc2c[nH]c3ccc(-c4ccccc4)cc23)cc1,76785825,15,1,1,holdout,
O=c1ccc2cc3ccoc3cc2o1,79816880,16,1,1,holdout,
c1ccc2nc(Cc3c[nH]c4ccccc34)ccc2c1,80514341,17,1,0,holdout,
c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,100960103,18,23,6,holdout,
c1ccc(Sc2c[nH]c3cccc(-c4cnccn4)c23)cc1,101475528,19,1,1,holdout,
O=C(c1ccoc1)N(Cc1ccccc1)c1ccccc1,119635420,20,1,1,holdout,
O=C(Nc1cccc(Nc2ccnc(OC3CCNCC3)n2)c1)c1cccc(N2CCOCC2)c1,120632599,21,1,1,holdout,
O=C(NCc1nc2ccccc2[nH]1)c1cccs1,127627064,22,1,1,holdout,
O=c1[nH]c(=O)c2cc(Cc3ccccc3)sc2[nH]1,133221017,23,1,1,holdout,
c1ccc(-c2n[nH]c(C3CCNCC3)c2-c2ccncn2)cc1,136058860,24,1,0,holdout,
c1csc(Cc2ccc3cccnc3c2)c1,136734766,25,1,1,holdout,
O=c1[nH]c2cccc(CCNCCc3cccc(CCNCc4ccccc4)c3)c2s1,140387764,26,1,1,holdout,
c1ccc(CSc2ncc3nccnc3n2)cc1,147806462,27,1,1,holdout,
O=c1cc[nH]c2ncccc12,148671195,28,1,1,holdout,
O=C(NC1CNC1=O)C(=NOCc1cc(=O)cc[nH]1)c1cscn1,154038121,29,1,1,holdout,
c1ccc(-c2c[nH]c3ccccc23)cc1,163589232,30,1,1,holdout,
O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1n[nH]c(=O)c2ccccc12,164795950,31,1,0,holdout,
c1c[nH+]cc(CNc2cc(N3CCCCC3)nc3ccnn23)c1,165197582,32,1,0,holdout,
O=C(CC(c1ccccc1)c1ccc2c(c1)OCO2)N1CCCCC1,177478038,33,1,0,holdout,
O=c1[nH]c2cccc(CCNC3CCCC3OCc3ccccc3)c2s1,177948315,34,1,1,holdout,
O=C(NC1CC1)c1cn(-c2cccc(C#Cc3cccnc3)c2)c2ncccc2c1=O,179468790,35,1,1,holdout,
O=S(=O)(c1ccccc1)N1Bc2ccccc2C=N1,200167508,36,1,1,holdout,
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,200434533,37,1,0,holdout,
O=S(=O)(NCC1CCC(CNc2ncc3ccccc3n2)CC1)c1ccccc1,207261152,38,1,1,holdout,
O=C(NCc1ccc2c(c1)OCO2)c1ccc2ncc(NCc3cccs3)n2c1,214942965,39,1,0,holdout,
c1ccc(CCNCC23CC4CC(CC(C4)C2)C3)cc1,216065310,40,1,1,holdout,
O=C(CSc1nnc(-c2ccccc2)o1)N1CCN(C(=O)c2ccco2)CC1,222267877,41,1,1,holdout,
O=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,237233261,42,2,2,holdout,
O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,243742898,43,20,14,holdout,
O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c2ccccc12,246608053,44,1,0,holdout,
O=C(OC1C[N+]2(Cc3nc(-c4ccccc4)no3)CCC1CC2)C(c1ccccc1)N1CCCCC1,251080641,45,1,1,holdout,
c1ncc2nnn(C3CCCC3)c2n1,254564609,46,1,1,holdout,
c1ccc(OCc2ccno2)nc1,260307931,47,1,0,holdout,
O=C(Cc1ccccc1)NCCN1CCCC1,269707111,48,1,0,holdout,
O=c1c2cc(Oc3ccccc3)ccc2ncn1CC1CCCNC1,271350573,49,1,1,holdout,
O=c1c2cc(N3CCNCC3)ccc2ncn1-c1ccccc1,275089476,50,1,0,holdout,
O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,280435016,51,17,8,holdout,
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1ccccc1,283739531,52,1,1,holdout,
O=C(c1ccccc1)c1ccccc1,288776438,53,2,0,holdout,
c1coc(Cn2ccc3ccccc32)c1,294767885,54,1,0,holdout,
O=C(NCc1ccccc1)c1ccc2cccnc2c1,299572874,55,1,1,holdout,
O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,301307990,56,6,6,holdout,
O=C(Nc1cccc2cccnc12)C1CCC(N2C(=O)C3C4CCC(C4)C3C2=O)CC1,309467168,57,1,1,holdout,
O=C(NS(=O)(=O)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1)c1ccccc1,318743063,58,1,1,holdout,
O=C(Nc1nc2c(=O)[nH]cnc2s1)c1ccccc1,323272267,59,1,0,holdout,
O=C(Cc1ccccc1)Nc1nnc(CCSCCc2nncs2)s1,325435500,60,1,1,holdout,
c1ccccc1,332058716,61,18,10,holdout,
O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1n[nH]c2ccccc12,332539960,62,1,0,holdout,
O=C(OC1C[N+]2(CCc3ccccc3)CCC1CC2)C(c1ccccc1)N1CCCCC1,334652023,63,2,2,holdout,
O=C1Nc2cccnc2N(C(=O)CN2CCNCC2)c2ccccc21,340530742,64,1,0,holdout,
C(=Cc1nnc(-c2ccccn2)n1-c1ccccc1)c1nnc(-c2ccccc2)o1,345380836,65,1,0,holdout,
O=C(COc1ccccc1)N1CCN(Cc2ccccc2)CC1,346249080,66,1,1,holdout,
O=C(CNc1ccccc1)Nc1cccc2nc(N3CCCC3)ccc12,350508861,67,1,1,holdout,
c1ccn2c(-c3ccncn3)cnc2c1,354519879,68,1,1,holdout,
O=c1[nH]c2cccc(CCNCCCOCCOCCc3cccc4ccccc34)c2s1,377797593,69,1,1,holdout,
c1ccc(-c2nnc(C34CCC(c5noc(-c6ccccc6)n5)(CC3)CC4)[nH]2)cc1,378245949,70,1,0,holdout,
O=c1[nH]c2nc(Nc3ccccc3)ncc2cc1-c1ccccc1,385409810,71,1,1,holdout,
c1csc(-c2ccsc2)c1,391168144,72,1,1,holdout,
O=C(NCC[NH2+]CCCc1ccccc1)c1cnccn1,398854266,73,1,1,holdout,
O=c1ccc2c(-c3ccc(-c4ccccc4)cc3)csc2[nH]1,400277724,74,1,0,holdout,
O=C(NCCCN1CCC(Oc2ccccc2)CC1)n1c(=O)[nH]c2ccccc21,401215473,75,1,0,holdout,
O=C(Nc1ccccc1)C1Cc2ccccc2CN1Cc1ccccc1,402225645,76,1,1,holdout,
O=S(=O)(Nc1ccccc1Oc1ccccc1)c1ccc(C2CC2)cc1,430026201,77,1,0,holdout,
O=c1[nH]c2nc(SCc3ccco3)ncc2s1,440687585,78,1,1,holdout,
O=C(NS(=O)(=O)c1ccc(Oc2ccccc2)cc1)c1cccc(-c2ccccc2)c1,446264234,79,1,1,holdout,
c1ccc(CN2CCC(N3CCN(c4ccccn4)CC3)CC2)cc1,446559004,80,1,1,holdout,
O=C(NCCCSCC1CCC(n2cnc3cncnc32)O1)NCc1ccccc1,455875348,81,1,1,holdout,
O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)C1CC1,458200624,82,1,1,holdout,
O=C(COc1ccnc2ccccc12)NCc1ccccc1,461399644,83,2,1,holdout,
O=C(CNC(=O)c1ccon1)CC(Cc1ccccc1)C(=O)NCCC1CCNC1=O,462123225,84,1,1,holdout,
c1ccc(-c2cccc(COc3ccc4c(c3)OCC4)c2)cc1,496879899,85,1,1,holdout,
O=C(NCc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1)C1CCNCC1,510744761,86,1,1,holdout,
O=C(CC12CC3CC(CC(C3)C1)C2)Nc1cccc2c(=O)[nH]ccc12,513302743,87,1,1,holdout,
O=C(OC1C[N+]2(Cc3cc(-c4ccccc4)on3)CCC1CC2)C(c1ccccc1)N1CCCCC1,521617029,88,1,0,holdout,
O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)c1ccno1,525551747,89,1,0,holdout,
O=c1ccoc2c(C3C=CNC=C3)cccc12,530127071,90,1,0,holdout,
O=C(CCOCCc1ccccc1)NCCNCCc1cccc2ncsc12,535884203,91,3,2,holdout,
c1ccc(-c2ncoc2-c2ccc3nncn3c2)cc1,537489830,92,1,0,holdout,
c1ccc(-c2cnc3ccc(NC4CCOCC4)nn23)cc1,540815292,93,1,1,holdout,
O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,548996601,94,2,2,holdout,
c1coc(CSc2ncc3scnc3n2)c1,561840217,95,1,1,holdout,
O=C(Nc1ccccc1)C1c2ccccc2CCN1Cc1ccccc1,570822592,96,1,1,holdout,
O=C(NC1CCCCC1)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccccc1,572025463,97,6,6,holdout,
O=c1[nH]c2cccc(CCNCCc3cccc(CN4CCC(c5ccccc5)CC4)c3)c2s1,573515297,98,1,1,holdout,
O=C(NCc1cccnc1)c1cc(-c2ccco2)on1,576530920,99,1,1,holdout,
c1ccc(Cc2cn[nH]c2)cc1,577805894,100,1,1,holdout,
O=S(=O)(Nc1ccno1)c1ccccc1,582385379,101,1,0,holdout,
N=C(Nc1ccc2c(c1)CCCN2CCC1CCCN1)c1cccs1,583972752,102,1,1,holdout,
c1ccc(Cc2cnc(-c3ccccn3)nc2)cc1,594192684,103,1,1,holdout,
C1=Cc2ccccc2Nc2ccccc21,596227441,104,1,1,holdout,
O=C(NC1CCCC1)C(Nc1ccccc1)c1ccccc1,609922488,105,1,0,holdout,
O=S(=O)(Nc1ccnn1-c1ccccc1)c1cccc(CN2CCOCC2)c1,613788027,106,1,1,holdout,
c1ccc(COc2ccc3c(ccn3Cc3ccc(-c4cccnc4)cc3)c2)nc1,616182609,107,1,1,holdout,
O=c1[nH]c2cccc(CCNCCc3cccc(CNCCc4ccccc4)c3)c2s1,627822820,108,4,4,holdout,
O=C(CCc1ccccc1)Nc1ccccc1,635546404,109,1,1,holdout,
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(-c2ccccc2)c1,641449589,110,1,1,holdout,
c1ncc2ncn(C3CCCO3)c2n1,646650320,111,1,1,holdout,
O=S(=O)(Nc1ccccn1)c1ccccc1,651308448,112,1,0,holdout,
c1nc(CSc2ncc3scnc3n2)cs1,654390751,113,1,0,holdout,
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,659724439,114,3,3,holdout,
O=S1(=O)CCC(N2CC(Oc3nc4c(N5CCOCC5)nc(-n5cnc6ccccc65)nc4[nH]3)C2)CC1,664219970,115,1,1,holdout,
c1ccc(-c2ccccc2)cc1,668650274,116,32,12,holdout,
O=C(NC(C(=O)Nc1ccccc1)c1cccs1)c1ccccc1,674396584,117,1,1,cv,0
O=C(Nc1ccccc1)Nc1ccccc1CN1CCC(Cc2ccccc2)CC1,676425635,118,1,1,cv,1
O=C(NCc1cccc(Cn2nc(NS(=O)(=O)c3cccs3)c3ccccc32)c1)C1COCCN1,684486803,119,2,2,cv,2
c1ccc(Nc2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1,691485464,120,1,0,cv,3
O=C(NC1CCC2CCNC21)c1cccc2ccccc12,715417016,121,1,1,cv,3
c1ccc(-c2ccccc2-c2ccccc2)cc1,716200296,122,1,0,cv,4
O=C(CCc1cnc2ncnn2c1)Nc1ccccc1,716750626,123,2,1,cv,4
c1ccc(OC2CCN(CC3CCN(c4ccccc4)CC3)CC2)cc1,718992279,124,8,4,cv,0
c1ccc(CNCCOc2ccccc2-c2cccs2)cc1,722392908,125,1,0,cv,1
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(CN2CCNCC2)c1,730690776,126,1,1,cv,1
c1ccc(COc2cccc3sccc23)cc1,730815131,127,1,1,cv,3
O=c1[nH]c2cccc(CCNCCCSCCNCCc3ccccc3)c2s1,741540730,128,3,3,cv,4
O=C(CC1CCCCCC1)Nc1cccc2c(=O)n(C3CCNC3)ccc12,742374944,129,1,0,cv,1
c1ccc(-c2[nH]nc3ccccc23)cc1,758295219,130,1,0,cv,1
O=C1CC2CC(SC3CN(C4=NCCS4)C3)=CN12,769398059,131,2,1,cv,1
c1ccc(CNc2ccc3c(c2)CCC3)cc1,771924284,132,1,1,cv,2
O=C(Nc1ccccc1)Nc1cccc2[nH]nnc12,779376759,133,1,1,cv,3
O=C(NCC1CCCCCC1)c1cccc(-n2ncc(=O)[nH]c2=O)c1,779638219,134,2,1,cv,1
c1ccc(-c2cc3ccccc3cn2)nc1,782991251,135,1,1,cv,2
O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cccnc5c4)cc3)CC2)CN1C1CC1,811436440,136,1,1,cv,3
O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1cnnc2ccccc12,824368244,137,1,1,cv,1
O=C(CSc1ncccn1)Nc1ccon1,826511839,138,1,0,cv,2
c1ccc(CN2CCc3sccc3C2)cc1,831066987,139,2,1,cv,2
O=C(CNC(=O)c1ccc2ccccc2n1)NC(CCN1CCC2CCCCC2C1)Cc1ccccc1,831798303,140,1,0,cv,3
c1ccc(Cn2cnc3cnc4ccccc4c32)cc1,864020578,141,3,1,cv,3
O=c1c(NCc2ccco2)c(Nc2ccccc2)c1=O,870308870,142,1,0,cv,4
O=c1cnc2cnc(SCc3ccccc3)nc2[nH]1,876870082,143,1,1,cv,4
O=C1COc2c(CCNCCN(C(=O)CCNCCc3ccccc3)C3CCCCC3)cccc2N1,889917824,144,1,1,cv,0
O=c1[nH]c2cccc(CCNCCS(=O)(=O)CCCOCCc3ccccc3)c2s1,890893190,145,1,1,cv,1
c1ccc(CCOCCCOCCNCCc2cccc3ncsc23)cc1,903031040,146,1,1,cv,2
O=S1(=O)CCC(n2nccc2NS(=O)(=O)c2ccccc2)CC1,903899862,147,1,0,cv,3
O=C(Nc1ccccc1)c1coc(-c2ccccc2)c1,913927765,148,1,1,cv,3
c1cc(CCCCNc2cccc3ncccc23)c2c(c1)CCO2,915856886,149,1,0,cv,4
c1ccc(Sc2ccc3ccccc3n2)cc1,920966520,150,1,1,cv,4
c1ccc2c(c1)NCc1cc3c(cc1-2)OCO3,929562394,151,1,1,cv,0
O=C(CSc1nnc(-c2ccco2)[nH]1)Nc1ccon1,952489144,152,1,0,cv,1
O=S(=O)(Nc1ccnn1-c1ccccc1)C1CCCC1,959563724,153,1,0,cv,1
c1ccoc1,970110503,154,1,0,cv,1
c1ccc(CN2CCC(N3CCC(Oc4ccccc4)CC3)CC2)cc1,970158294,155,1,1,cv,1
O=S(=O)(Nc1ccnn1-c1ccccc1)c1cccnc1,971359409,156,1,0,cv,2
c1cc(NC2CNC2)nc(-c2cnc3ccccn23)c1,979804077,157,1,0,cv,2
c1ccc(-c2nccs2)cc1,994374242,158,1,0,cv,2
c1ccc(CN2CCOC(CN3CCC(Oc4ccccc4)CC3)C2)cc1,995080934,159,1,0,cv,2
O=C(CSc1ncccn1)Nc1nc(-c2ccccc2)cs1,1002104750,160,1,1,cv,2
c1ccc([SH+]c2ccc3nnnn3n2)cc1,1034468840,161,1,0,cv,3
c1ccc(Nc2nccc(NC3CC3)n2)cc1,1037333567,162,1,1,cv,3
c1ccc(Nc2ncnc3ccccc23)cc1,1042921487,163,1,1,cv,4
O=S(=O)(Nc1ccccc1)c1cccc(-c2cnccn2)c1,1059303176,164,1,1,cv,0
c1cc(-c2cc(-c3ncc(CN4CCNCC4)o3)c3cn[nH]c3c2)c2cc[nH]c2c1,1060798314,165,1,1,cv,1
O=C(CSc1nnc2ccc3ccccc3n12)N1CCN(C(=O)c2ccco2)CC1,1064074909,166,2,1,cv,2
__ACYCLIC__,1071124969,167,1,1,cv,3
O=C(Cc1cccc(CCNCCc2ccccc2)c1)NC12CC3CC(CC(C3)C1)C2,1086953651,168,1,1,cv,4
c1ccc(Sc2c[nH]c3cccnc23)cc1,1091354224,169,1,1,cv,0
O=C(NCC1CCCCCC1)c1cccc(-c2cc[nH]n2)c1,1094418399,170,2,1,cv,1
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCc2ccccc2C1,1103489041,171,1,1,cv,2
O=C(NC1CC1)c1cccc(-c2ccc(C(=O)NCC3CC3)nc2)c1,1109633871,172,1,0,cv,3
O=S(=O)(Nc1ccnn1C1CCC1)c1ccccc1,1110662146,173,1,1,cv,3
c1ccc2cc(Nc3ncnc4ccccc34)ncc2c1,1112371384,174,1,1,cv,4
O=C(C[N+]12CCC(CC1)C(OC(=O)C(c1ccccc1)N1CCCCC1)C2)Nc1ccncn1,1126439545,175,1,1,cv,0
O=C1c2c([nH]c3ccccc23)CCC1Cn1ccnc1,1133588979,176,1,1,cv,1
O=C(c1c(Cc2c[nH]c3ccccc23)sc2[nH]c(=O)[nH]c(=O)c12)N1CCCC1,1137236740,177,1,1,cv,2
