class,descriptor,N,median,Q1,Q3,IQR,min,max,mean,std
BELOW,MolecularWeight,274,398.9155000000001,318.6797500000002,476.79200000000026,158.11225000000007,133.15399999999997,617.8560000000001,393.34162043795635,98.68042038268301
IN-RANGE,MolecularWeight,744,418.5410000000003,348.44450000000006,481.5037500000002,133.05925000000013,150.20599999999996,1065.703,414.8225094086023,103.5623689955883
ABOVE,MolecularWeight,84,417.02750000000015,333.8125,472.43825000000015,138.62575000000015,221.25900000000001,700.2900000000001,408.56540476190503,98.15645895080934
BELOW,cLogP,274,3.6687200000000018,2.669445000000001,4.540250000000004,1.870805000000003,-1.0823299999999998,7.2644200000000065,3.576691824817521,1.4289171574211317
IN-RANGE,cLogP,744,3.6560200000000025,2.8448000000000007,4.539075000000004,1.6942750000000033,-1.9713999999999994,10.342519999999995,3.6770138306451634,1.336268520522509
ABOVE,cLogP,84,3.603000000000002,3.104400000000001,4.420005000000003,1.3156050000000024,0.6859999999999999,7.795800000000009,3.699757380952384,1.146935910516196
BELOW,TPSA,274,76.96,55.120000000000005,91.5675,36.44749999999999,12.03,156.79,77.70423357664234,25.731272836597025
IN-RANGE,TPSA,744,81.345,59.095000000000006,97.38,38.28499999999999,3.24,300.88999999999993,80.24979838709679,29.46831712121691
ABOVE,TPSA,84,76.88,59.625,93.755,34.129999999999995,22.12,180.96999999999997,78.07142857142858,29.31518300405272
BELOW,HBD,274,1.0,1.0,2.0,1.0,0.0,5.0,1.5474452554744527,0.9334704471736841
IN-RANGE,HBD,744,2.0,1.0,2.0,1.0,0.0,11.0,1.7876344086021505,1.3421654609528906
ABOVE,HBD,84,1.0,1.0,2.0,1.0,0.0,5.0,1.2738095238095237,1.123153804830752
BELOW,HBA,274,4.0,4.0,5.0,1.0,1.0,11.0,4.613138686131387,1.6183389267377228
IN-RANGE,HBA,744,5.0,4.0,6.0,2.0,1.0,14.0,5.19489247311828,1.9560241321747198
ABOVE,HBA,84,6.0,4.0,7.0,3.0,2.0,14.0,5.666666666666667,2.1132589651567226
BELOW,RotatableBonds,274,5.0,4.0,7.0,3.0,0.0,13.0,5.565693430656935,2.198332300178471
IN-RANGE,RotatableBonds,744,6.0,4.0,8.0,4.0,0.0,23.0,6.192204301075269,3.1262176168788645
ABOVE,RotatableBonds,84,6.0,4.0,7.0,3.0,1.0,15.0,6.059523809523809,2.97115121283767
BELOW,FractionCsp3,274,0.29411764705882354,0.1600877192982456,0.43478260869565216,0.27469488939740655,0.0,0.8888888888888888,0.2979816753647817,0.17168573238120602
IN-RANGE,FractionCsp3,744,0.32433380084151475,0.21052631578947367,0.42857142857142855,0.21804511278195488,0.0,0.7647058823529411,0.324314705089553,0.16965563390484345
ABOVE,FractionCsp3,84,0.30090497737556565,0.1980769230769231,0.43478260869565216,0.23670568561872907,0.0,0.7391304347826086,0.31301766991703134,0.17157713050243734
