molecule_chembl_id,canonical_smiles_rdkit,standard_value_hlm,standard_relation_hlm,standard_value_hh,standard_relation_hh,class_hlm,class_hh,is_hlm_ambiguous_at_3,log10_hlm,log10_hh
CHEMBL1020,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,4.0,,9.12,,IN-RANGE,IN-RANGE,False,0.6020599913279624,0.9599948383284161
CHEMBL402986,C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,4.0,,19.45,,IN-RANGE,IN-RANGE,False,0.6020599913279624,1.2889196056617265
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,4.0,,3.46,,IN-RANGE,IN-RANGE,False,0.6020599913279624,0.5390760987927766
CHEMBL196707,Cc1c(CC(=O)O)c2cc(F)ccc2n1S(=O)(=O)c1ccc(S(C)(=O)=O)cc1,5.0,,7.9,,IN-RANGE,IN-RANGE,False,0.6989700043360189,0.8976270912904415
CHEMBL2057372,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCOCC4)nn3c2)c1,5.0,,3.39,,IN-RANGE,IN-RANGE,False,0.6989700043360189,0.5301996982030822
CHEMBL2057371,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2)c1,5.0,,4.79,,IN-RANGE,IN-RANGE,False,0.6989700043360189,0.6803355134145632
CHEMBL1939560,C[C@H](c1nc2ncccc2c(=O)n1-c1ccc(Cl)cc1)N(CC1CCS(=O)(=O)CC1)C(=O)Cc1ccc(C(F)(F)F)c(F)c1,5.25,,5.13,,IN-RANGE,IN-RANGE,False,0.7201593034059569,0.7101173651118162
CHEMBL1829174,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,5.5,,5.25,,IN-RANGE,IN-RANGE,False,0.7403626894942439,0.7201593034059569
CHEMBL12,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,5.75,,6.17,,IN-RANGE,IN-RANGE,False,0.7596678446896304,0.7902851640332417
CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,5.75,,3.89,,IN-RANGE,IN-RANGE,False,0.7596678446896304,0.5899496013257077
CHEMBL205078,O=C(Nc1cc(-c2ccnc(Nc3ccc(F)cc3)c2)ccn1)C1CCOCC1,6.03,,14.79,,IN-RANGE,IN-RANGE,False,0.7803173121401513,1.1699681739968923
CHEMBL256668,C[C@H](CO)Nc1nc(SCc2cccc(F)c2F)nc2[nH]c(=O)cnc12,6.18,,23.22,,IN-RANGE,IN-RANGE,False,0.7909884750888159,1.365862215402555
CHEMBL782,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,6.31,,6.31,,IN-RANGE,IN-RANGE,False,0.8000293592441343,0.8000293592441343
CHEMBL1088752,Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,6.92,,3.8,,IN-RANGE,IN-RANGE,False,0.8401060944567578,0.5797835966168101
CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21,7.0,,5.25,,IN-RANGE,IN-RANGE,False,0.8450980400142568,0.7201593034059569
CHEMBL2017291,COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]c(=O)n([C@H](C)c3ccccn3)c12,7.59,,3.24,,IN-RANGE,IN-RANGE,False,0.8802417758954804,0.5105450102066121
CHEMBL580,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,7.94,,4.57,,IN-RANGE,IN-RANGE,False,0.8998205024270963,0.6599162000698503
CHEMBL232846,C[C@H](CO)Nc1nc(SCc2ccccc2F)nc2nc(N)sc12,8.13,,5.75,,IN-RANGE,IN-RANGE,False,0.9100905455940682,0.7596678446896304
CHEMBL272705,C[C@H](CO)Nc1nc(SCc2ccco2)nc2[nH]c(=O)sc12,8.28,,27.3,,IN-RANGE,IN-RANGE,False,0.9180303367848801,1.436162647040756
CHEMBL403225,C[C@H](CO)Nc1nc(SCc2cccc(Cl)c2F)nc2[nH]c(=O)sc12,8.67,,19.91,,IN-RANGE,IN-RANGE,False,0.9380190974762103,1.2990712600274095
CHEMBL403313,CN(C)S(=O)(=O)NC(=O)CCCc1c(-c2ccc(F)cc2)[nH]c2ccc(C#N)cc12,8.86,,44.0,,IN-RANGE,IN-RANGE,False,0.9474337218870508,1.6434526764861874
CHEMBL1363,COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,9.0,,3.91,,IN-RANGE,IN-RANGE,False,0.9542425094393249,0.5921767573958668
CHEMBL1346,NC(=O)C(c1ccccc1)(c1ccccc1)[C@@H]1CCN(CCc2ccc3c(c2)CCO3)C1,9.5,,5.05,,IN-RANGE,IN-RANGE,False,0.9777236052888477,0.7032913781186614
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,10.47,,6.92,,IN-RANGE,IN-RANGE,False,1.0199466816788423,0.8401060944567578
CHEMBL1834184,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,10.96,,4.57,,IN-RANGE,IN-RANGE,False,1.0398105541483504,0.6599162000698503
CHEMBL370492,CCc1nc2cc(O)ccc2c(Oc2ccc(/C=C/C(=O)O)cc2)c1-c1ccccc1,11.22,,38.9,,IN-RANGE,IN-RANGE,False,1.0499928569201427,1.5899496013257077
CHEMBL894,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,12.02,,16.98,,IN-RANGE,IN-RANGE,False,1.0799044676667207,1.2299376859079338
