molecule_chembl_id,canonical_smiles_rdkit,standard_value_hlm,standard_relation_hlm,standard_value_hh,standard_relation_hh,class_hlm,class_hh,is_hlm_ambiguous_at_3
CHEMBL1164729,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,3.0,<,7.0,,BELOW,IN-RANGE,False
CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,3.0,<,5.37,,BELOW,IN-RANGE,False
CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,3.0,<,6.46,,BELOW,IN-RANGE,False
CHEMBL112,CC(=O)Nc1ccc(O)cc1,3.0,<,6.31,,BELOW,IN-RANGE,False
CHEMBL1800528,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL1917456,Cc1c(Oc2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL2158826,O=C(O)Cc1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL1689133,C[C@H](Oc1ccc(Cl)cc1CN1CCN(C(=O)Cc2ccc(Cl)cc2)[C@@H](C)C1)C(=O)O,3.0,<,4.7,,BELOW,IN-RANGE,False
CHEMBL402728,Cc1nc(CSc2nc(N[C@H](C)CO)c3sc(=O)[nH]c3n2)cs1,3.0,<,3.3,,BELOW,IN-RANGE,False
CHEMBL1917443,Cc1ccc2c(c1)c(Sc1ccc(S(C)(=O)=O)cc1)c(C)n2CC(=O)O,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL2058529,O=C(O)CCc1ccc(OCc2cc(Cl)ccc2-c2ccccc2)cc1,3.0,<,21.38,,BELOW,IN-RANGE,False
CHEMBL2364624,O=C(O)C[C@H]1CC[C@H](c2ccc(-c3ccc(Nc4ccc(C(F)(F)F)nc4)cn3)cc2)CC1,3.0,<,3.0,<,BELOW,BELOW,False
CHEMBL361546,O=c1c2sccc2n(CC2COc3ccccc3O2)c(=O)n1O,3.0,<,134.9,,BELOW,IN-RANGE,False
CHEMBL1917450,Cc1c(S(=O)(=O)c2ccc(Cl)cc2)c2c(NS(C)(=O)=O)cccc2n1CC(=O)O,3.0,<,3.0,<,BELOW,BELOW,False
