Internal ID,canonical_smiles_rdkit,scaffold_group,outer_fold,is_sensitivity_member,has_target
Mol1,CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nn2c(C(=O)N[C@@H]3C[C@@H]3F)cnc12,O=C(NC1CC1)c1cnc2ccc(Nc3cccn(-c4ccccn4)c3=O)nn12,2,False,True
Mol2,CCOc1cc2nn(CCC(C)(C)O)cc2cc1NC(=O)c1cccc(C(F)F)n1,O=C(Nc1ccc2n[nH]cc2c1)c1ccccn1,0,False,True
Mol3,CN(c1ncc(F)cn1)[C@H]1CCCNC1,c1cnc(N[C@H]2CCCNC2)nc1,3,False,True
Mol4,CC(C)(Oc1ccc(-c2cnc(N)c(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,c1ccc(-c2cncc(-c3ccccc3)c2)cc1,1,False,True
Mol5,CC(C)(O)CCn1cc2cc(NC(=O)c3cccc(C(F)(F)F)n3)c(C(C)(C)O)cc2n1,O=C(Nc1ccc2n[nH]cc2c1)c1ccccn1,0,True,True
Mol6,CC#CC(=O)N[C@H]1CCCN(c2c(F)cc(C(N)=O)c3[nH]c(C)c(C)c23)C1,c1cc(N2CCCCC2)c2cc[nH]c2c1,4,True,True
Mol7,CC(C)NCC(O)COc1cccc2ccccc12,c1ccc2ccccc2c1,2,True,True
Mol8,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2ccccc2)cc1,1,True,True
Mol9,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,c1ccc(Oc2ccc(-c3nn([C@@H]4CCCNC4)c4ncncc34)cc2)cc1,4,True,True
Mol10,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,c1ccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)cc1,0,True,True
Mol11,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,c1nc(-c2cnn(C3CNC3)c2)c2cc[nH]c2n1,0,False,True
Mol12,COc1ccc(S(=O)(=O)N2CCC(N3CCC(C)CC3)CC2)cc1,O=S(=O)(c1ccccc1)N1CCC(N2CCCCC2)CC1,3,True,True
