activity_id,molecule_id,canonical_smiles_rdkit,censoring_class,scaffold_group_key,outer_fold
14758721,CHEMBL1164729,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,BELOW,c1ccc(-c2nccs2)cc1,3
14758722,CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,BELOW,O=S(=O)(Nc1ccccc1)c1ccccc1,0
14758723,CHEMBL1071,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,BELOW,c1ccc(-c2ncoc2-c2ccccc2)cc1,2
14758725,CHEMBL1526762,Cc1cc(C)nc(SCC(N)=O)n1,BELOW,c1cncnc1,4
14758726,CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1,BELOW,O=C1Nc2cccnc2N(C(=O)CN2CCNCC2)c2ccccc21,3
14758727,CHEMBL112,CC(=O)Nc1ccc(O)cc1,BELOW,c1ccccc1,3
14758728,CHEMBL1290284,COc1cc(C(=O)OCCCCNC(=N)N)cc(OC)c1O,BELOW,c1ccccc1,3
14758729,CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,BELOW,c1ccc(COc2ccccc2)cc1,2
14758730,CHEMBL60066,O=C(Nc1ccc(F)cc1)c1ccc(Cl)[n+]([O-])c1,BELOW,O=C(Nc1ccccc1)c1ccc[nH+]c1,2
14758731,CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1,BELOW,c1ccc2ncccc2c1,1
14758732,CHEMBL2059909,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1,BELOW,c1cncc(-c2ccc3ncnn3c2)c1,3
14758733,CHEMBL2059910,CNC(=O)Nc1nc2ccc(-c3cncc(S(=O)(=O)NC(C)(C)C)c3)cn2n1,BELOW,c1cncc(-c2ccc3ncnn3c2)c1,3
14758734,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,BELOW,c1ccc(Cc2cncnc2)cc1,0
14758735,CHEMBL182380,CCN(C(=O)NCc1ccc(S(C)(=O)=O)cc1)C1CCN(CCC(c2ccccc2)c2ccccc2)CC1,BELOW,O=C(NCc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14758736,CHEMBL190243,C[C@@H](C(=O)NCCN1CCCC1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1,BELOW,O=C(Cc1ccccc1)NCCN1CCCC1,4
14758737,CHEMBL2207670,CS(=O)(=O)c1ccc2c(C(=O)NC[C@@H](O)CN3CCC(Oc4ccc(C#N)c(Cl)c4)CC3)c[nH]c(=O)c2c1,BELOW,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,2
14758738,CHEMBL2158836,O=C(O)[C@@H](Cc1ccccc1)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,1
14758739,CHEMBL2158831,O=C(O)c1ccccc1CN1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,c1ccc(CN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,3
14758740,CHEMBL1800528,COc1ccnc(CCc2nc3c(C)ccnc3[nH]2)c1,BELOW,c1ccc(CCc2nc3cccnc3[nH]2)nc1,4
14758741,CHEMBL379866,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12,BELOW,c1ccc(-c2ncoc2-c2ccc3nncn3c2)cc1,3
14758742,CHEMBL2171033,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,BELOW,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,4
14758743,CHEMBL1399574,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,BELOW,O=C(CCc1cnc2ncnn2c1)Nc1ccccc1,1
