activity_id,chembl_id,canonical_smiles_rdkit,scaffold_key,CLint,log10_CLint,semantic_class
14758924,CHEMBL203125,O=CN(O)CCCP(=O)(O)O,__ACYCLIC__,3.02,0.48000694295715063,EXACT_QUANTITATIVE
14758935,CHEMBL93484,CC1N=C(N)N=C(N)N1c1ccc(Cl)cc1,C1=NC=NCN1c1ccccc1,3.31,0.5198279937757188,EXACT_QUANTITATIVE
14758945,CHEMBL1689109,O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3.6,0.5563025007672873,EXACT_QUANTITATIVE
14758956,CHEMBL1934417,COCCC(C)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c1ccc(C)cc1,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,3.9,0.5910646070264992,EXACT_QUANTITATIVE
14758961,CHEMBL2326864,CC(=O)Nc1nc(CCc2ccc(NC(=N)N)cc2)cs1,c1ccc(CCc2cscn2)cc1,3.98,0.5998830720736879,EXACT_QUANTITATIVE
14758962,CHEMBL1539037,COc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,O=C(CCc1cnc2ncnn2c1)Nc1ccccc1,3.98,0.5998830720736879,EXACT_QUANTITATIVE
14758970,CHEMBL375166,Cc1n[nH]c(C)c1Cc1sc2c(c1C(=O)N1C[C@H](O)CO1)c(=O)n(C)c(=O)n2CC(C)C,O=C(c1c(Cc2cn[nH]c2)sc2[nH]c(=O)[nH]c(=O)c12)N1CCCO1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758971,CHEMBL2207665,Cn1cc(C(=O)NC[C@@H](O)CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)c(C(F)(F)F)cc1=O,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccc(=O)[nH]c1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758972,CHEMBL1020,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,O=C(c1ccccc1)c1ccc[nH]1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758973,CHEMBL402986,C[C@H](CO)Nc1nc(SCc2ccccc2)nc2[nH]c(=O)sc12,O=c1[nH]c2nc(SCc3ccccc3)ncc2s1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758974,CHEMBL212777,Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758975,CHEMBL1072,CCCCNc1cc(C(=O)O)cc(S(N)(=O)=O)c1Oc1ccccc1,c1ccc(Oc2ccccc2)cc1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758976,CHEMBL1743245,Cc1ccccc1/N=N/c1ccc(NC(=O)c2ccnn2C)c(C)c1,O=C(Nc1ccc(N=Nc2ccccc2)cc1)c1ccn[nH]1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758977,CHEMBL2094588,O=C(CN1C2=NCCN2c2ccccc21)c1ccc(Cl)cc1,O=C(CN1C2=NCCN2c2ccccc21)c1ccccc1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
14758978,CHEMBL2158839,O=C(O)[C@H](Cc1ccccc1F)N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,4.0,0.6020599913279624,EXACT_QUANTITATIVE
