activity_id,chembl_id,scaffold_key,outer_fold
14758924,CHEMBL203125,__ACYCLIC__,1
14758935,CHEMBL93484,C1=NC=NCN1c1ccccc1,1
14758945,CHEMBL1689109,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14758956,CHEMBL1934417,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,4
14758961,CHEMBL2326864,c1ccc(CCc2cscn2)cc1,3
14758962,CHEMBL1539037,O=C(CCc1cnc2ncnn2c1)Nc1ccccc1,2
14758970,CHEMBL375166,O=C(c1c(Cc2cn[nH]c2)sc2[nH]c(=O)[nH]c(=O)c12)N1CCCO1,3
14758971,CHEMBL2207665,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccc(=O)[nH]c1,3
14758972,CHEMBL1020,O=C(c1ccccc1)c1ccc[nH]1,1
14758973,CHEMBL402986,O=c1[nH]c2nc(SCc3ccccc3)ncc2s1,1
14758974,CHEMBL212777,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,2
14758975,CHEMBL1072,c1ccc(Oc2ccccc2)cc1,3
14758976,CHEMBL1743245,O=C(Nc1ccc(N=Nc2ccccc2)cc1)c1ccn[nH]1,3
14758977,CHEMBL2094588,O=C(CN1C2=NCCN2c2ccccc21)c1ccccc1,5
14758978,CHEMBL2158839,c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,5
14758979,CHEMBL2208423,O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1ccccc1,4
14758980,CHEMBL1778647,c1ccc(-c2ccccc2)cc1,4
14758981,CHEMBL379828,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,2
14758982,CHEMBL211866,O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,1
14758983,CHEMBL2031233,O=C(Nc1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1)C1CC1,5
14758984,CHEMBL5,O=c1cc[nH]c2ncccc12,1
14758985,CHEMBL60088,c1ccc2sccc2c1,3
14758986,CHEMBL1738761,c1ccc(COc2ccccc2)cc1,4
14758987,CHEMBL1917428,c1ccc(Sc2c[nH]c3ccccc23)cc1,1
14758988,CHEMBL2158834,c1ccc(OC2CCN(CC3CCN(c4ccccn4)CC3)CC2)cc1,4
14758989,CHEMBL180184,O=C(NCc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,2
14758990,CHEMBL350563,N=C(c1ccccc1)C1CCN(C2CCN(C(=O)c3ccncc3)CC2)CC1,5
14758991,CHEMBL112246,c1ccc(NC2CCNCC2)nc1,4
14758993,CHEMBL669,C=C1c2ccccc2C=Cc2ccccc21,2
14758997,CHEMBL2335901,O=C(NCc1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1)C1CCNCC1,5
14758998,CHEMBL1531981,O=C(Nc1ccccc1)c1coc(-c2ccccc2)c1,4
14758999,CHEMBL1766779,O=C(Nc1ccccc1)c1cncc(-c2ccccc2)n1,4
14759000,CHEMBL1934268,O=S(=O)(Nc1ccn[nH]1)c1ccccc1,4
14759774,CHEMBL2031559,O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cccc2[nH]cnc12,2
14759778,CHEMBL1090089,O=c1[nH]c2ncncc2cc1Oc1ccccc1,1
14759783,CHEMBL1689112,O=C(c1ccccc1)N1CCN(Cc2ccccc2)CC1,5
14759791,CHEMBL1355736,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,3
14759795,CHEMBL1688458,c1ccc(OCc2cccc(Oc3ccccc3)c2)cc1,1
14759804,CHEMBL1807823,O=c1[nH]c2cccc(CCNCCSCCCNCCc3ccccc3)c2s1,3
14759805,CHEMBL196707,O=S(=O)(c1ccccc1)n1ccc2ccccc21,2
14759806,CHEMBL1689111,O=S(=O)(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,1
14759807,CHEMBL209689,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,2
14759808,CHEMBL2057372,O=C(NCC(=O)N1CCOCC1)Nc1nc2ccc(-c3cccnc3)cn2n1,3
14759809,CHEMBL2057371,O=C(NCC(=O)N1CCCC1)Nc1nc2ccc(-c3cccnc3)cn2n1,1
14759810,CHEMBL1290183,O=C(c1ccccc1)N1CCC2(CCN(Cc3ccccc3)CC2)CC1,2
14759811,CHEMBL1916288,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,2
14759812,CHEMBL193240,O=C(Nc1ccncc1)c1cccc(OCC2CC2)c1,2
14759813,CHEMBL1934420,O=S(=O)(Nc1ccnn1C1CCNCC1)c1ccccc1,3
14759814,CHEMBL2171035,O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,5
14759815,CHEMBL1689115,O=S(=O)(Cc1ccccc1)N1CCCN(Cc2ccccc2)CC1,5
14759816,CHEMBL1078685,c1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,1
14759817,CHEMBL233263,c1coc(CSc2ncc3scnc3n2)c1,5
14759818,CHEMBL591931,c1ccc(-c2cccc3sccc23)cc1,4
14759819,CHEMBL1689119,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,3
14759820,CHEMBL211631,c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,2
14759821,CHEMBL1478592,O=C(Nc1ccccc1)c1cc2cncnc2s1,4
14759822,CHEMBL100391,c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,2
14759823,CHEMBL1917461,c1ccc(Sc2c[nH]c3cccnc23)cc1,4
14759824,CHEMBL313907,O=S(=O)(Nc1nc(-c2ccccc2)nn1Cc1ccccc1)c1ccccc1,5
14759825,CHEMBL2031464,O=C(NC1CCC1)c1cccc(-n2cnc3ccc(N4CCNCC4)cc3c2=O)c1,2
