method,condition,candidate_id,rank,primary_5_0_centroid_distance,primary_5_0_recovered,primary_5_0_jaccard,primary_5_0_recall,primary_5_0_precision,primary_5_0_intersection,primary_5_0_upstream_hit,sensitivity_4_5_centroid_distance,sensitivity_4_5_recovered,sensitivity_4_5_jaccard,sensitivity_4_5_recall,sensitivity_4_5_precision,sensitivity_4_5_intersection,sensitivity_4_5_upstream_hit,method_score_score,method_score_probability,method_score_sas_points,method_score_surf_atoms,method_score_druggability,method_score_volume_A3,method_score_persistence,method_score_crypticity
p2rank,apo,p2rank_apo_1,1,5.447158555429254,False,0.36,0.375,0.9,9,True,5.006182619521586,False,0.391304347826087,0.4090909090909091,0.9,9,True,3.86,0.151,48,25,,,,
p2rank,apo,p2rank_apo_2,2,8.92828584171225,False,0.14814814814814814,0.16666666666666666,0.5714285714285714,4,False,8.996291402471455,False,0.11538461538461539,0.13636363636363635,0.42857142857142855,3,False,2.02,0.044,25,13,,,,
p2rank,apo,p2rank_apo_3,3,10.58678390225219,False,0.0,0.0,0.0,0,False,10.989064900700976,False,0.0,0.0,0.0,0,False,1.94,0.04,23,19,,,,
p2rank,apo,p2rank_apo_4,4,4.972601555824285,False,0.20833333333333334,0.20833333333333334,1.0,5,False,5.024260668813056,False,0.22727272727272727,0.22727272727272727,1.0,5,False,1.29,0.014,23,10,,,,
p2rank,holo_control,p2rank_holo_control_1,1,6.84941138190295,False,0.5,0.5,1.0,12,True,6.540653888596554,False,0.5454545454545454,0.5454545454545454,1.0,12,True,11.29,0.604,66,36,,,,
p2rank,holo_control,p2rank_holo_control_2,2,6.973911384118792,False,0.25,0.25,1.0,6,True,7.20597516638762,False,0.2727272727272727,0.2727272727272727,1.0,6,True,1.86,0.036,32,19,,,,
p2rank,holo_control,p2rank_holo_control_3,3,16.97403136186397,False,0.0,0.0,0.0,0,False,16.91866762286973,False,0.0,0.0,0.0,0,False,1.47,0.02,30,17,,,,
lacuna,apo,lacuna_apo_1,1,4.961590545886739,False,0.3939393939393939,0.5416666666666666,0.5909090909090909,13,True,4.599333236620055,False,0.41935483870967744,0.5909090909090909,0.5909090909090909,13,True,,,,,0.803,139.7,0.667,0.472
lacuna,apo,lacuna_apo_2,2,13.114491817386869,False,0.05555555555555555,0.08333333333333333,0.14285714285714285,2,False,13.506753762283507,False,0.058823529411764705,0.09090909090909091,0.14285714285714285,2,False,,,,,0.652,127.6,0.857,0.333
lacuna,apo,lacuna_apo_3,3,7.910819422015947,False,0.3333333333333333,0.4583333333333333,0.55,11,True,8.245549318045924,False,0.3125,0.45454545454545453,0.5,10,True,,,,,0.722,164.5,0.286,0.866
